Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Washington Nationals15.4,WSN12.3,DET9.7,BAL6.4,LAA16.7,STL4.7,CIN3.8,NYY5.4,NYM4.9,LAA1.8,MIL4.8,LAA5.3,LAA3.1,LAA10.7,LAA0.8,TEX0.2
2,New York Yankees13.5,DET11.1,WSN8.8,CIN5.0,SFG11.6,SFG4.4,DET2.1,ARI2.9,SDP4.2,WSN1.8,KCR3.7,PIT4.8,ATL3.0,ATL8.2,BOS0.8,LAA0.1
3,Cincinnati Reds11.9,CIN10.1,LAD6.8,OAK4.7,STL11.2,PHI3.3,WSN2.0,BOS2.7,DET4.0,CHC1.4,SFG3.3,ATL3.9,MIA2.9,MIL5.9,OAK0.7,OAK0.1
4,St. Louis Cardinals10.3,LAD9.4,MIA6.4,KCR4.5,ATL7.9,MIL2.6,LAA1.9,CHC2.1,TEX3.2,SEA1.2,LAA2.3,DET3.0,CHW2.2,STL5.7,TOR0.7,SFG-0.1
5,Oakland Athletics10.1,TBR8.9,TBR4.8,COL4.3,NYY7.4,ARI2.1,SFG1.9,PHI1.9,MIL3.1,TEX1.2,STL2.0,MIN3.0,OAK1.9,SFG5.7,NYY0.2,STL-0.1
6,Los Angeles Angels of Anaheim8.5,OAK8.2,CIN4.6,TBR4.1,MIL6.2,CHW1.7,NYY1.8,CLE1.2,TOR2.0,KCR1.0,TEX1.8,SFG2.2,STL1.8,OAK5.1,MIN0.2,SDP-0.2
7,Tampa Bay Rays8.3,BAL7.0,CHW4.2,ATL3.2,ARI4.3,LAD1.1,ARI1.3,LAD1.2,WSN1.8,MIA0.9,OAK1.4,TEX2.0,TBR1.2,MIN3.6,STL0.1,NYY-0.2
8,Texas Rangers7.7,CHW6.6,OAK3.6,LAD2.9,SDP4.1,BAL0.8,STL0.4,CIN1.0,STL1.7,NYM0.8,ATL1.3,STL1.9,LAD1.1,TEX2.6,SFG0.1,PHI-0.3
9,San Francisco Giants7.6,TEX6.2,NYY3.6,TEX2.8,WSN3.1,KCR0.5,TOR0.3,ATL0.9,ATL1.6,SFG0.7,MIN0.7,OAK1.8,TOR0.9,SDP2.2,MIL0.1,MIN-0.3
10,Atlanta Braves7.2,NYY6.1,TEX3.4,NYY2.6,MIN2.0,CLE0.5,OAK0.3,TBR0.7,LAA1.1,BAL0.6,TBR0.4,COL1.5,CLE0.8,TBR2.1,PHI0.1,MIL-0.4
11,Los Angeles Dodgers6.1,SEA3.7,NYM3.2,CHW2.5,OAK1.9,NYY0.3,BOS0.1,MIN0.7,TBR0.9,CHW0.4,SDP0.3,BAL1.5,SDP0.8,PIT1.8,CHC0.0,CHW-0.5
12,Detroit Tigers5.8,MIA3.6,PHI2.7,WSN2.3,CIN1.8,CIN0.3,CHC0.0,PIT0.4,KCR0.6,BOS0.4,CIN0.3,SDP1.1,MIL0.7,ARI1.4,SDP0.0,SEA-0.6
13,Chicago White Sox5.2,COL2.4,SEA2.5,DET1.7,TEX1.5,MIN0.2,ATL-0.1,LAA0.4,PIT0.6,PHI0.4,BOS0.2,ARI1.1,NYY0.6,CHW0.6,ARI0.0,BOS-0.7
14,Arizona Diamondbacks3.2,PHI-0.2,MIL1.6,SEA1.1,BOS0.9,SDP0.1,SDP-0.4,MIA0.3,SFG0.4,STL0.3,COL-0.1,WSN1.0,ARI0.5,COL0.6,MIA0.0,ARI-0.7
15,Baltimore Orioles0.4,KCR-0.3,BAL0.8,PIT0.8,PHI0.4,TOR-0.1,CHW-0.5,SEA0.1,LAD0.1,TOR0.2,ARI-0.2,LAD0.8,WSN0.3,NYY0.3,WSN-0.1,WSN-0.8
16,Philadelphia Phillies0.2,ATL-0.7,STL0.7,SDP0.6,TOR-0.1,ATL-0.1,MIL-0.7,WSN0.1,NYY-0.1,CLE0.2,PHI-0.3,CLE0.8,SFG0.2,LAD0.1,PIT-0.1,CLE-0.9
17,Milwaukee Brewers-0.7,STL-0.9,ARI-1.1,ARI0.3,TBR-0.6,LAA-0.1,PIT-1.0,NYM-0.5,BOS-0.2,CIN0.2,CHC-0.6,NYY0.7,CIN0.2,WSN-0.3,COL-0.1,BAL-1.0
18,Seattle Mariners-2.7,ARI-1.1,CHC-1.8,CLE0.0,CHW-1.4,DET-0.3,NYM-1.1,TEX-0.6,PHI-0.2,TBR0.2,NYY-1.0,TBR0.5,MIN-0.1,BAL-0.4,KCR-0.1,TOR-1.0
19,Pittsburgh Pirates-3.6,NYM-1.8,HOU-2.2,STL-1.7,PIT-1.6,BOS-0.6,MIN-1.1,TOR-0.7,BAL-0.2,HOU0.1,BAL-1.3,MIL0.4,BOS-0.2,KCR-1.0,NYM-0.1,COL-1.0
20,San Diego Padres-4.2,PIT-2.0,COL-2.2,MIA-1.9,LAD-3.3,SEA-0.7,TBR-1.3,SDP-0.9,OAK-0.3,MIN0.1,CHW-1.4,PHI0.3,BAL-0.6,CLE-1.1,LAD-0.1,KCR-1.0
21,Kansas City Royals-5.7,SFG-4.0,PIT-2.3,BOS-1.9,NYM-4.4,HOU-0.8,TEX-1.8,HOU-0.9,SEA-0.3,ATL-0.2,SEA-1.5,CHW-0.2,SEA-0.8,CIN-1.4,HOU-0.1,DET-1.2
22,New York Mets-6.2,HOU-5.4,SFG-2.4,HOU-2.1,CLE-5.0,TBR-0.8,BAL-1.8,COL-1.0,CIN-0.7,NYY-0.3,PIT-1.5,NYM-0.3,CHC-0.8,PHI-1.4,CIN-0.2,CIN-1.2
23,Colorado Rockies-7.2,MIL-6.9,ATL-3.5,SFG-2.4,DET-5.3,OAK-1.3,COL-2.0,CHW-1.4,ARI-1.0,PIT-0.5,WSN-1.6,SEA-0.3,COL-0.8,TOR-1.5,ATL-0.2,NYM-1.3
24,Miami Marlins-8.2,CHC-6.9,KCR-4.8,TOR-2.6,KCR-5.4,PIT-1.3,LAD-2.3,SFG-1.5,CHW-1.1,OAK-0.6,LAD-1.8,KCR-0.4,TEX-1.2,BOS-1.6,CHW-0.6,TBR-1.4
25,Toronto Blue Jays-9.0,LAA-8.2,LAA-5.1,MIN-2.8,CHC-5.7,WSN-1.4,HOU-2.4,STL-1.6,HOU-1.3,SDP-0.9,TOR-1.8,TOR-0.6,PHI-1.4,SEA-2.6,CLE-0.8,PIT-1.5
26,Minnesota Twins-12.5,SDP-8.3,TOR-6.3,LAA-2.9,SEA-6.4,MIA-1.4,SEA-2.5,OAK-2.1,CLE-1.3,DET-1.4,DET-1.9,HOU-1.4,PIT-1.5,CHC-2.8,TBR-1.0,LAD-1.8
27,Chicago Cubs-12.6,TOR-8.9,SDP-8.7,PHI-3.3,BAL-6.6,CHC-1.7,KCR-2.6,MIL-2.7,MIN-1.4,LAD-1.6,NYM-2.3,CHC-1.4,NYM-1.9,DET-3.0,SEA-1.0,CHC-2.0
28,Boston Red Sox-14.0,CLE-12.2,MIN-11.5,CHC-4.8,COL-9.6,COL-1.8,CLE-2.8,KCR-2.8,MIA-2.2,ARI-1.7,HOU-2.4,BOS-1.6,HOU-2.4,MIA-3.0,TEX-1.1,HOU-2.1
29,Cleveland Indians-17.2,MIN-14.5,CLE-12.4,NYM-5.7,MIA-11.8,TEX-2.2,PHI-3.4,DET-2.9,COL-2.6,MIL-1.7,CLE-2.7,CIN-1.9,DET-4.1,NYM-4.5,BAL-1.3,ATL-2.2
30,Houston Astros-19.1,BOS-14.9,BOS-12.8,MIL-8.0,HOU-13.7,NYM-2.6,MIA-3.6,BAL-3.3,CHC-2.7,COL-1.7,MIA-3.7,MIA-2.2,KCR-4.3,HOU-6.2,DET-2.6,MIA-2.8
