Tm,Payroll
New York Yankees,197962289
Philadelphia Phillies,174538938
Boston Red Sox,173186617
Los Angeles Angels,154485166
Detroit Tigers,132300000
Texas Rangers,120510974
Miami Marlins,118078000
San Francisco Giants,117620683
St. Louis Cardinals,110300862
Milwaukee Brewers,97653944
Chicago White Sox,96919500
Los Angeles Dodgers,95143575
Minnesota Twins,94085000
New York Mets,93353983
Chicago Cubs,88197033
Atlanta Braves,83309942
Cincinnati Reds,82203616
Seattle Mariners,81978100
Baltimore Orioles,81428999
Washington Nationals,81336143
Cleveland Guardians,78430300
Colorado Rockies,78069571
Toronto Blue Jays,75489200
Arizona Diamondbacks,74284833
Tampa Bay Rays,64173500
Pittsburgh Pirates,63431999
Kansas City Royals,60916225
Houston Astros,60651000
Athletics,55372500
San Diego Padres,55244700
