0,1,2
World Series,4-0,San Francisco Giants over Detroit Tigers
ALCS,4-0,Detroit Tigers over New York Yankees
NLCS,4-3,San Francisco Giants over St. Louis Cardinals
AL Division Series,3-2,New York Yankees over Baltimore Orioles
AL Division Series,3-2,Detroit Tigers over Oakland Athletics
NL Division Series,3-2,St. Louis Cardinals over Washington Nationals
NL Division Series,3-2,San Francisco Giants over Cincinnati Reds
Wild Card Game,1-0,Baltimore Orioles over Texas Rangers
Wild Card Game,1-0,St. Louis Cardinals over Atlanta Braves
