Tm,Payroll
Chicago Cubs,194081714
Boston Red Sox,187232500
San Francisco Giants,157271237
Washington Nationals,154176081
Houston Astros,147619666
Los Angeles Angels,132175083
Philadelphia Phillies,131152962
St. Louis Cardinals,125365166
Colorado Rockies,125185509
New York Yankees,118832077
Seattle Mariners,116382175
Milwaukee Brewers,108403700
Cincinnati Reds,106440714
Texas Rangers,104349564
Minnesota Twins,101056933
Los Angeles Dodgers,99803334
Detroit Tigers,97988900
Arizona Diamondbacks,96777231
New York Mets,91576770
Atlanta Braves,89551043
Cleveland Guardians,88713833
Athletics,84345833
Chicago White Sox,83757121
Miami Marlins,69574714
Kansas City Royals,67941887
San Diego Padres,63068635
Baltimore Orioles,61124882
Pittsburgh Pirates,54577502
Toronto Blue Jays,54568171
Tampa Bay Rays,49084731
