0,1,2
World Series,4-3,Washington Nationals over Houston Astros
ALCS,4-2,Houston Astros over New York Yankees
NLCS,4-0,Washington Nationals over St. Louis Cardinals
AL Division Series,3-2,Houston Astros over Tampa Bay Rays
AL Division Series,3-0,New York Yankees over Minnesota Twins
NL Division Series,3-2,Washington Nationals over Los Angeles Dodgers
NL Division Series,3-2,St. Louis Cardinals over Atlanta Braves
Wild Card Game,1-0,Tampa Bay Rays over Oakland Athletics
Wild Card Game,1-0,Washington Nationals over Milwaukee Brewers
