Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,44,4.59,.692,162,1458,1005,13185.0,6042,4395,1561,86,136,.986,52,5,12,3,8
Atlanta Braves,50,4.59,.685,162,1458,1127,13056.0,5952,4352,1522,78,154,.987,5,0,8,2,-2
Baltimore Orioles,57,6.06,.688,162,1458,989,12987.0,5879,4329,1442,108,155,.982,3,0,-1,-5,-10
Boston Red Sox,47,5.11,.673,162,1458,1106,13239.0,5937,4413,1436,88,115,.985,-15,-1,6,0,-9
Chicago Cubs,52,4.43,.681,162,1458,969,12978.0,6063,4326,1619,118,141,.981,12,1,1,1,3
Chicago White Sox,47,5.17,.678,161,1449,1132,12714.0,5880,4238,1525,117,171,.980,-21,-2,-8,-2,-2
Cincinnati Reds,47,4.39,.699,162,1458,972,12942.0,5865,4314,1460,91,124,.984,25,2,3,0,9
Cleveland Indians,53,4.06,.695,162,1458,1139,12939.0,5718,4313,1322,83,110,.985,49,5,-6,1,12
Colorado Rockies,50,5.91,.677,162,1458,1112,13038.0,6201,4346,1758,97,165,.984,6,1,5,1,9
Detroit Tigers,53,5.68,.666,161,1449,1214,12897.0,5861,4299,1452,110,127,.981,-103,-10,-16,-1,-7
Houston Astros,45,3.95,.717,162,1458,1043,13161.0,5811,4387,1353,71,96,.988,53,5,1,1,13
Kansas City Royals,51,5.36,.678,162,1458,1165,12825.0,5853,4275,1505,73,152,.988,-5,0,3,-2,2
Los Angeles Angels,56,5.36,.695,162,1458,1080,12983.2,5889,4328,1469,92,118,.984,5,0,-8,0,-2
Los Angeles Dodgers,45,3.78,.710,162,1458,977,13011.0,5871,4337,1428,106,117,.982,48,4,5,0,3
Miami Marlins,50,4.99,.703,162,1458,1058,12999.0,5791,4333,1364,94,135,.984,-4,0,3,0,0
Milwaukee Brewers,49,4.73,.691,162,1458,1013,13134.0,5870,4378,1395,97,135,.983,7,1,-3,-1,3
Minnesota Twins,49,4.65,.673,162,1458,1105,13170.0,5906,4390,1405,111,130,.981,-22,-2,-3,-1,-1
New York Mets,52,4.55,.679,162,1458,933,13149.0,5917,4383,1435,99,129,.983,-44,-4,2,-3,-4
New York Yankees,54,4.56,.686,162,1458,1132,12987.0,5778,4329,1347,102,135,.982,7,1,-13,-1,-3
Oakland Athletics,49,4.20,.710,162,1458,1124,13185.0,5939,4395,1464,80,122,.987,41,4,-2,0,-12
Philadelphia Phillies,53,4.90,.687,162,1458,1122,13083.0,6010,4361,1552,97,136,.984,16,1,11,0,0
Pittsburgh Pirates,54,5.62,.666,162,1458,1068,12960.0,5934,4320,1493,121,130,.980,-70,-7,18,0,2
San Diego Padres,54,4.87,.680,162,1458,1041,12888.0,5798,4296,1386,116,100,.980,-42,-4,-5,-1,-4
Seattle Mariners,67,5.51,.688,162,1458,1123,12954.0,5940,4318,1490,132,145,.978,-9,-1,0,-1,-7
San Francisco Giants,63,4.77,.699,162,1458,1079,13221.0,6033,4407,1536,90,142,.985,14,1,-7,0,1
St. Louis Cardinals,42,4.09,.706,162,1458,1051,12996.0,5976,4332,1578,66,168,.989,37,3,11,1,3
Tampa Bay Rays,57,4.05,.695,162,1458,1076,13269.0,5924,4423,1414,87,126,.985,28,3,6,-1,6
Texas Rangers,53,5.42,.671,162,1458,1170,12942.0,5783,4314,1364,105,143,.982,-34,-3,-11,-1,-7
Toronto Blue Jays,61,5.11,.685,162,1458,1153,12963.0,5920,4321,1503,96,141,.984,-8,-1,12,1,0
Washington Nationals,50,4.47,.689,162,1458,1171,12954.0,5779,4318,1374,87,111,.985,6,1,9,0,2
,1400,4.83,.688,4858,43722,32449,390809.2,177120,130270,43952,2898,4009,.984,34,0,1,0,-1
