Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Boston Red Sox18.8,DET13.5,DET13.2,ATL5.3,BOS18.4,CLE3.8,BAL4.2,NYY3.9,DET4.9,ATL3.7,COL2.6,PIT5.7,BOS4.1,BOS8.9,BOS2.4,TEX0.3
2,Detroit Tigers17.8,STL9.7,STL7.2,TEX4.4,LAD9.1,CHC3.2,CIN4.1,BOS3.5,OAK4.7,LAD3.3,PIT2.5,MIL5.4,CIN3.1,PIT7.1,TOR0.9,BOS0.2
3,Los Angeles Dodgers16.1,ATL7.9,CHW5.7,KCR3.6,TEX7.4,STL3.0,ARI4.0,CLE2.5,BAL3.6,COL2.7,KCR2.0,LAA4.6,TOR2.8,MIL6.6,LAD0.1,LAD0.0
4,Atlanta Braves13.7,LAD7.0,LAD5.7,STL3.0,PIT7.0,KCR2.5,ATL3.2,STL2.5,TBR3.1,WSN2.3,LAA1.3,BOS4.1,ARI2.7,LAA5.1,SFG0.1,CLE-0.1
5,Texas Rangers12.1,OAK6.8,CIN4.9,PIT2.5,CLE6.4,MIN2.5,SFG2.4,TEX2.2,NYM2.9,MIL1.9,CLE1.0,TOR3.0,LAD2.6,TOR4.3,LAA0.1,KCR-0.1
6,St. Louis Cardinals12.1,CIN6.5,MIA4.5,OAK2.5,TBR6.2,SFG2.0,BOS1.9,TBR1.5,TEX2.8,TBR1.7,MIL0.8,CIN2.9,WSN2.5,KCR4.0,SEA0.0,CHC-0.4
7,Cincinnati Reds11.1,CHW6.2,OAK4.4,MIN2.1,ATL5.8,PIT1.4,LAD1.3,PHI1.0,SEA1.5,DET1.6,BOS0.7,TEX2.6,NYM1.8,CIN3.9,ATL0.0,ATL-0.4
8,Oakland Athletics9.3,COL5.2,COL3.4,COL2.0,ARI5.6,BOS1.4,TOR1.2,LAA1.0,PIT1.2,BAL1.4,PHI0.6,NYY2.1,ATL1.8,WSN3.4,CHC0.0,LAA-0.4
9,Pittsburgh Pirates8.3,MIA5.2,WSN2.2,TOR1.8,SFG5.2,ATL1.4,KCR0.9,LAD0.8,LAD1.1,BOS1.2,STL0.3,BAL2.1,SDP1.6,ARI3.0,COL0.0,ARI-0.5
10,Tampa Bay Rays4.6,TEX4.7,ATL1.7,NYY1.8,CIN4.6,OAK1.4,CLE0.6,PIT0.8,SDP1.1,TEX0.8,ATL0.1,KCR1.9,SFG1.6,TEX2.8,MIL0.0,TBR-0.5
11,Kansas City Royals4.6,KCR3.5,SEA1.7,CIN1.7,BAL4.4,HOU1.3,STL0.6,DET0.6,WSN0.9,TOR0.8,SDP-0.1,ARI1.3,TBR1.1,CLE2.0,PIT0.0,BAL-0.5
12,Cleveland Indians3.8,PIT1.3,PHI1.3,CHW0.9,DET4.3,TEX0.7,CHC0.3,ARI0.4,ARI0.6,SFG0.6,WSN-0.1,DET1.1,TEX1.0,LAD1.9,SDP0.0,TOR-0.6
13,Colorado Rockies1.6,NYY0.9,CHC0.7,MIA0.8,LAA2.9,LAD0.6,TBR0.3,SEA0.2,TOR0.6,SDP0.5,NYY-0.4,WSN1.0,MIA0.9,NYY1.3,STL0.0,NYM-0.6
14,Baltimore Orioles0.4,WSN0.5,NYM0.7,BOS0.7,TOR2.8,LAA0.4,OAK0.0,NYM0.1,ATL0.5,ARI0.4,CHC-0.5,TBR0.9,CLE0.8,TBR1.2,WSN0.0,DET-0.7
15,Washington Nationals0.3,BOS0.4,TBR0.5,DET0.1,OAK2.5,MIL0.2,DET-0.3,SDP0.1,CIN0.4,CHW0.2,MIA-0.7,OAK0.8,OAK0.6,COL1.1,NYM0.0,SFG-0.7
16,Los Angeles Angels of Anaheim-0.9,TBR-1.6,TEX0.4,LAD-0.5,STL2.4,SDP0.1,LAA-0.5,MIN0.0,CHC0.3,MIN-0.5,TBR-0.8,NYM0.6,STL0.5,NYM0.9,ARI-0.1,SEA-0.8
17,Toronto Blue Jays-2.4,CHC-1.8,CLE0.3,SDP-0.7,KCR1.1,WSN-0.3,SDP-0.6,SFG-0.1,HOU0.1,OAK-0.7,TEX-0.8,CHC0.5,MIL0.4,SFG0.9,MIN-0.2,OAK-0.8
18,Arizona Diamondbacks-2.5,PHI-1.8,BOS0.0,SFG-0.8,SDP0.6,TBR-0.6,MIN-0.7,BAL-0.2,SFG0.0,CLE-0.8,LAD-0.9,SFG0.4,DET0.2,SDP0.8,PHI-0.2,CIN-1.0
19,San Francisco Giants-4.2,CLE-2.6,PIT-0.1,BAL-0.8,WSN-0.2,PHI-0.6,SEA-1.0,CIN-0.5,COL0.0,CIN-0.9,ARI-1.0,LAD0.2,KCR0.1,STL0.4,MIA-0.2,NYY-1.0
20,Chicago Cubs-5.4,SEA-3.1,KCR-0.2,WSN-1.4,MIL-0.9,COL-0.8,PIT-1.4,KCR-0.8,STL-0.7,PHI-1.0,SFG-1.1,CLE0.2,NYY-0.4,DET0.2,CIN-0.2,PIT-1.0
21,New York Yankees-6.6,LAA-3.8,NYY-0.5,TBR-1.9,NYM-2.6,DET-0.9,NYM-1.5,TOR-1.3,BOS-1.1,PIT-1.1,DET-1.1,STL-0.4,CHC-0.7,OAK0.0,CLE-0.4,MIN-1.0
22,San Diego Padres-7.8,BAL-4.0,LAA-1.2,ARI-2.1,COL-3.6,NYM-1.0,TEX-1.5,HOU-1.3,CHW-1.2,SEA-1.1,BAL-1.2,SDP-0.7,CHW-0.7,ATL-0.6,TBR-0.5,CHW-1.1
23,New York Mets-8.6,TOR-5.2,BAL-3.1,MIL-2.2,CHC-3.6,CIN-1.2,WSN-2.0,COL-1.4,MIN-1.2,LAA-1.4,OAK-1.4,COL-0.7,COL-0.8,CHC-0.7,OAK-0.6,SDP-1.4
24,Milwaukee Brewers-8.9,NYM-6.0,MIL-5.4,LAA-2.7,NYY-7.5,BAL-1.5,PHI-2.0,OAK-1.5,CLE-1.2,KCR-1.8,NYM-1.5,HOU-0.7,LAA-0.8,MIA-0.8,TEX-0.7,STL-1.5
25,Chicago White Sox-11.2,MIN-6.7,HOU-5.4,CLE-2.8,MIN-8.0,NYY-1.5,NYY-2.2,MIL-1.6,MIA-1.4,STL-1.9,SEA-1.5,SEA-0.8,PIT-1.1,BAL-1.0,KCR-0.8,MIL-1.7
26,Seattle Mariners-11.5,MIL-8.0,ARI-5.6,CHC-2.9,SEA-8.4,ARI-2.2,HOU-2.2,MIA-2.0,LAA-1.4,HOU-2.3,TOR-1.5,MIA-1.0,BAL-1.9,PHI-3.8,DET-1.1,HOU-1.7
27,Miami Marlins-12.4,ARI-8.1,TOR-6.9,PHI-3.1,PHI-11.4,CHW-2.6,COL-2.8,ATL-2.0,MIL-2.1,CHC-2.6,CHW-1.9,PHI-1.2,SEA-2.2,CHW-4.3,BAL-1.6,PHI-2.0
28,Philadelphia Phillies-13.2,SDP-8.4,SFG-8.0,SEA-4.6,HOU-15.1,SEA-2.7,MIA-2.9,CHW-2.3,NYY-2.7,NYM-3.4,CIN-2.1,MIN-1.7,MIN-2.4,SEA-4.5,NYY-1.7,WSN-2.0
29,Minnesota Twins-14.7,SFG-9.4,SDP-8.6,HOU-5.2,CHW-17.4,TOR-3.1,CHW-3.3,WSN-2.5,PHI-2.8,MIA-3.6,MIN-2.8,CHW-1.7,PHI-3.2,MIN-6.9,HOU-1.9,MIA-2.1
30,Houston Astros-25.8,HOU-10.7,MIN-8.7,NYM-6.1,MIA-17.6,MIA-4.6,MIL-4.2,CHC-3.7,KCR-2.8,NYY-3.6,HOU-2.9,ATL-2.5,HOU-3.5,HOU-7.1,CHW-2.8,COL-2.4
