Tm,Payroll
New York Yankees,228835490
Los Angeles Dodgers,216597577
Philadelphia Phillies,165385714
Boston Red Sox,150655500
Detroit Tigers,148414500
San Francisco Giants,140264334
Los Angeles Angels,127896250
Chicago White Sox,119073277
Toronto Blue Jays,117527800
St. Louis Cardinals,115222086
Texas Rangers,114090100
Washington Nationals,114056769
Cincinnati Reds,107491305
Chicago Cubs,104304676
Baltimore Orioles,90993333
Atlanta Braves,89778192
Arizona Diamondbacks,89100500
Milwaukee Brewers,82976944
Kansas City Royals,81491725
Pittsburgh Pirates,79555000
Cleveland Guardians,77772800
Minnesota Twins,75802500
New York Mets,73396649
Seattle Mariners,72031143
Colorado Rockies,71924071
San Diego Padres,67143600
Athletics,60664500
Tampa Bay Rays,57895272
Miami Marlins,36341900
Houston Astros,22062600
