Tm,Payroll
New York Yankees,201689030
Philadelphia Phillies,172976381
Boston Red Sox,161407476
Los Angeles Angels,138998524
Chicago White Sox,129285539
Chicago Cubs,125480664
New York Mets,120147310
San Francisco Giants,118216333
Minnesota Twins,112737000
Detroit Tigers,105705232
St. Louis Cardinals,105433572
Los Angeles Dodgers,103788990
Texas Rangers,92299265
Colorado Rockies,87998071
Atlanta Braves,87003192
Seattle Mariners,86424600
Milwaukee Brewers,85497333
Baltimore Orioles,85304038
Cincinnati Reds,76181365
Houston Astros,70694000
Athletics,66536500
Washington Nationals,63681929
Toronto Blue Jays,62517800
Miami Marlins,56944000
Arizona Diamondbacks,53639833
Cleveland Guardians,49188867
Pittsburgh Pirates,46047000
San Diego Padres,45869140
Tampa Bay Rays,41932171
Kansas City Royals,36126400
