Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Philadelphia Phillies23.7,PHI24.0,PHI21.1,NYY5.5,BOS14.4,ARI3.1,DET4.9,BOS5.5,TBR4.5,COL4.0,MIL5.6,LAD5.8,TOR3.9,MIL9.0,BOS1.9,TEX0.4
2,Texas Rangers17.9,NYY8.1,TEX6.6,ATL4.5,TEX12.0,DET3.0,CIN4.5,TEX4.2,SFG3.5,NYM3.3,KCR4.9,BOS5.6,ARI3.6,KCR7.8,TEX1.2,CIN0.3
3,New York Yankees16.5,CHW6.5,OAK6.1,PHI2.7,TBR12.0,BAL2.5,BOS4.3,TBR4.2,TEX3.3,TOR2.7,STL2.8,PHI3.9,HOU2.5,ARI7.1,DET0.4,KCR0.1
4,Tampa Bay Rays13.8,TEX5.9,LAD5.7,FLA2.3,STL9.4,ATL1.4,STL3.4,CIN3.0,TOR2.9,CLE2.5,TBR1.9,NYY3.7,TBR2.4,TBR5.4,STL0.1,TBR0.0
5,Boston Red Sox12.8,OAK5.1,CHW5.2,KCR2.1,CIN8.5,SDP0.8,MIL2.0,NYY2.8,BOS1.5,SEA2.4,NYY1.7,PIT3.3,NYM2.1,STL5.3,COL0.1,STL0.0
6,Milwaukee Brewers10.0,ATL4.6,TBR4.1,COL1.8,NYY8.4,CIN0.7,NYM1.7,SEA2.2,LAA1.4,BAL2.2,ARI0.9,LAA2.7,FLA2.0,NYY5.3,HOU0.1,LAA-0.1
7,St. Louis Cardinals6.4,FLA4.3,NYY2.9,CHW1.6,ARI6.8,NYY0.7,LAA0.8,LAA1.6,CIN1.4,LAA1.9,TEX0.9,ARI2.6,STL1.7,LAD5.2,LAD0.0,DET-0.2
8,Detroit Tigers5.0,LAD3.9,FLA2.2,CLE1.6,DET6.5,COL0.7,LAD0.7,PHI1.5,NYY1.2,TEX1.7,HOU0.6,MIL2.3,CHW1.2,HOU3.2,CHC0.0,NYY-0.4
9,Los Angeles Angels of Anaheim4.9,MIL3.6,SFG1.5,WSN1.5,MIL6.4,CLE0.7,NYY0.7,MIL1.2,CLE1.1,DET1.7,WSN0.3,SDP2.3,MIL1.1,BOS1.8,PIT0.0,MIL-0.4
10,Los Angeles Dodgers4.7,SFG2.6,MIL1.4,MIL1.0,LAA5.1,STL0.6,TBR0.7,WSN0.7,SDP0.7,CHW1.3,PIT-0.4,DET2.2,LAA0.9,SDP1.8,CIN0.0,SFG-0.4
