Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Houston Astros22.6,HOU13.7,CLE12.2,OAK4.1,LAD15.4,PIT1.8,ARI3.3,CHC3.1,OAK5.6,CLE5.0,BOS3.1,MIL6.0,BOS8.2,BOS13.1,BOS2.4,LAD1.2
2,Boston Red Sox20.3,BOS10.1,HOU10.7,HOU3.3,NYY12.9,MIA1.7,ATL3.1,HOU3.1,CLE4.9,COL3.8,TBR2.5,LAA6.0,NYY4.0,MIL11.1,NYY1.9,CHC0.6
3,Los Angeles Dodgers18.4,PHI9.8,COL8.9,TEX2.9,CHC12.0,LAD1.4,LAD3.0,TBR2.5,LAD4.1,NYY3.2,MIL2.2,NYY2.5,SEA3.2,NYY7.8,LAA1.4,TBR0.4
4,Cleveland Indians15.6,CLE9.1,PHI8.8,BOS1.9,MIL11.2,CHC0.8,OAK1.7,NYM2.0,COL3.8,LAA3.1,MIN1.8,LAD2.2,MIL2.9,TBR4.2,SEA0.8,NYY0.1
5,New York Yankees14.7,COL7.5,NYM8.5,PHI1.5,BOS10.2,SFG0.6,MIL1.2,ATL1.9,HOU3.8,BOS2.8,PIT1.6,TBR1.9,CHC1.1,LAD4.1,TBR0.6,MIL0.0
6,Chicago Cubs13.5,WSN6.9,BOS8.0,SEA1.3,OAK9.2,TOR0.5,CIN1.1,STL1.5,WSN2.9,LAD2.6,NYY1.3,BOS1.8,LAD1.0,LAA4.0,OAK0.5,BOS-0.1
7,Oakland Athletics13.0,OAK3.8,LAD6.0,CHC1.1,TBR8.9,NYY0.1,CHC1.0,OAK1.4,TBR1.9,WSN2.6,ATL1.2,PIT1.6,SDP0.9,PIT3.4,TEX0.1,PIT-0.2
8,Tampa Bay Rays9.7,LAD3.0,WSN5.6,WSN0.9,HOU8.9,CHW0.0,STL0.7,SEA1.3,CHC1.8,CHC2.3,CLE1.2,ATL1.3,MIN0.9,ATL3.0,LAD0.1,HOU-0.2
9,Atlanta Braves8.9,NYM2.3,STL5.0,CIN0.5,ATL7.7,PHI-0.1,SFG0.6,KCR1.2,MIL1.5,HOU2.3,ARI1.1,HOU1.0,OAK0.8,MIN2.6,ATL0.0,MIN-0.4
10,Washington Nationals6.9,NYY1.8,ATL4.1,NYY0.2,CLE6.5,ATL-0.1,TOR0.4,ARI1.2,CIN1.2,ARI2.2,CHC0.9,TOR0.5,ATL0.5,CHC2.4,NYM0.0,OAK-0.4
11,Milwaukee Brewers6.9,CHC1.5,TBR4.0,SFG-0.5,LAA2.0,CLE-0.2,HOU0.4,BAL0.9,STL0.6,OAK1.9,LAD0.9,STL0.5,HOU0.4,SEA1.9,CIN0.0,SEA-0.4
12,Colorado Rockies3.6,ATL1.2,ARI2.8,SDP-0.6,SEA1.9,SEA-0.2,BOS0.2,NYY0.7,NYM0.4,BAL1.8,NYM0.8,CHC0.4,PIT0.2,OAK1.0,PIT0.0,STL-0.4
13,Seattle Mariners1.9,TBR0.8,PIT2.6,COL-1.4,ARI1.1,HOU-0.3,WSN0.0,LAA0.6,SDP0.3,CHW1.8,WSN0.7,NYM0.1,DET0.2,NYM0.9,CHC0.0,KCR-0.5
14,Los Angeles Angels1.6,STL0.4,NYY1.7,LAA-1.4,STL0.7,TBR-0.5,CHW-0.3,TEX0.5,CHW0.0,SEA1.3,LAA0.7,WSN0.0,TOR0.1,HOU0.6,COL0.0,TOR-0.6
