Tm,Payroll
Boston Red Sox,235650000
San Francisco Giants,208510000
Los Angeles Dodgers,186140000
Chicago Cubs,183460000
Washington Nationals,181590000
Los Angeles Angels,175100000
New York Yankees,168540000
Seattle Mariners,162480000
Toronto Blue Jays,162316000
St. Louis Cardinals,161010000
Houston Astros,160040000
New York Mets,154610000
Texas Rangers,144000000
Baltimore Orioles,143090000
Colorado Rockies,141340000
Cleveland Guardians,134350000
Arizona Diamondbacks,132500000
Minnesota Twins,131910000
Detroit Tigers,129919999
Kansas City Royals,129919999
Atlanta Braves,120540000
Cincinnati Reds,101190000
Miami Marlins,98640000
Philadelphia Phillies,96850000
San Diego Padres,96130000
Milwaukee Brewers,90240000
Pittsburgh Pirates,87880000
Tampa Bay Rays,78730000
Chicago White Sox,72180000
Athletics,68530000
