Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers11.6,CLE4.2,PHI5.1,OAK3.8,LAD7.9,KCR1.3,ATL2.1,TBR1.5,SDP2.0,SDP2.1,WSN1.2,SDP1.6,LAD2.6,LAD3.3,MIN1.1,TBR0.6
2,Tampa Bay Rays8.8,BAL3.8,CLE4.7,ATL3.7,SDP6.4,LAD1.2,CHW1.7,NYY1.4,NYY1.6,CHW2.1,NYM1.1,MIN1.6,NYM1.5,NYM3.1,ATL0.9,NYM0.2
3,San Diego Padres8.4,LAD3.7,CIN2.8,BAL3.7,TBR5.9,PHI1.1,SFG1.3,CLE0.9,CLE1.6,ATL1.9,HOU1.1,TBR1.5,NYY1.4,BOS2.5,LAD0.5,SFG0.1
4,Atlanta Braves7.7,OAK3.7,SDP2.8,TBR1.6,CHW5.0,CHW1.0,DET1.1,SFG0.8,LAA1.5,WSN1.9,OAK0.6,BOS1.3,BAL1.1,MIN2.3,HOU0.2,LAD0.1
5,New York Yankees4.6,WSN3.5,LAD2.5,WSN1.3,ATL4.6,LAA0.6,STL0.9,LAD0.8,MIA1.0,COL1.5,TBR0.5,CHW1.1,BOS1.1,SDP2.3,TBR0.1,BOS0.0
6,Oakland Athletics3.7,ATL3.1,COL2.3,TOR1.1,NYY4.4,CIN0.6,NYY0.8,NYM0.8,TBR0.9,LAD1.4,CHW0.5,SFG1.0,CHC1.0,TBR2.1,STL0.1,LAA-0.1
7,Chicago White Sox3.7,TBR2.9,WSN2.2,LAD1.1,SFG3.8,BOS0.4,SDP0.6,STL0.6,COL0.9,TBR1.2,ATL0.4,OAK0.8,SDP0.9,SFG1.5,SDP0.1,MIN-0.1
8,New York Mets3.4,TOR2.4,CHC1.9,MIL0.4,NYM3.2,OAK0.3,PHI0.5,SDP0.6,PIT0.9,ARI0.8,MIN0.4,LAA0.8,TOR0.7,NYY1.5,NYY0.1,STL-0.1
9,Baltimore Orioles3.2,SDP2.0,BOS1.6,KCR0.0,MIN1.6,ATL0.3,OAK0.4,CHW0.5,LAD0.8,SFG0.8,STL0.3,LAD0.7,PHI0.6,OAK1.1,BAL0.0,NYY-0.1
10,Minnesota Twins2.2,CIN1.9,TOR1.4,MIA-0.1,BOS1.2,MIL0.2,BOS0.4,DET0.4,TEX0.7,HOU0.7,TOR0.2,SEA0.7,TEX0.6,HOU1.0,TOR-0.1,TOR-0.2
11,Cleveland Indians2.1,MIL1.4,TBR1.3,CLE-0.4,STL1.0,WSN0.1,TBR0.2,CHC0.4,SEA0.4,LAA0.7,BOS0.1,HOU0.5,SFG0.5,CHW0.9,PHI-0.1,CHW-0.2
12,Toronto Blue Jays2.0,PHI1.3,MIN1.3,NYM-0.4,OAK0.0,PIT0.1,NYM0.1,ARI0.4,OAK0.3,MIA0.7,NYY0.1,NYM0.5,ATL0.4,BAL0.8,SFG-0.2,ATL-0.3
13,Washington Nationals1.9,MIA1.0,MIA1.2,CHW-0.5,PHI0.0,MIN0.0,CLE0.1,TOR0.1,PHI0.3,SEA0.7,LAD0.0,ARI0.5,ARI0.4,TOR0.8,NYM-0.3,WSN-0.3
14,Philadelphia Phillies1.3,MIN0.6,MIL1.0,HOU-0.7,CHC-0.3,TEX0.0,CHC0.1,ATL0.0,STL0.1,KCR0.4,SFG0.0,STL0.3,MIN0.3,CHC0.8,CIN-0.3,PHI-0.3
15,San Francisco Giants0.7,HOU0.3,NYY1.0,MIN-0.8,TOR-0.4,MIA-0.1,TOR-0.1,BAL0.0,SFG0.0,BAL0.4,SDP-0.2,TEX0.2,TBR0.1,ATL0.8,MIA-0.3,ARI-0.3
16,Boston Red Sox0.0,CHC0.3,HOU0.9,NYY-0.9,BAL-0.6,CHC-0.1,LAD-0.2,MIN-0.1,BAL-0.1,CLE0.4,ARI-0.2,CHC0.2,COL0.0,ARI0.7,CLE-0.4,MIA-0.3
17,Chicago Cubs0.0,NYM0.2,NYM0.5,CIN-0.9,LAA-0.9,BAL-0.2,LAA-0.3,LAA-0.3,CHW-0.1,TOR0.3,COL-0.2,MIA0.1,OAK-0.3,STL0.0,KCR-0.5,SDP-0.3
18,Houston Astros-0.8,NYY0.2,SEA0.4,SDP-0.9,HOU-1.1,NYY-0.3,MIA-0.5,WSN-0.4,MIN-0.1,PHI0.3,BAL-0.3,DET0.1,SEA-0.3,SEA0.0,OAK-0.5,SEA-0.3
19,Miami Marlins-1.3,KCR-0.3,LAA0.3,LAA-1.3,ARI-1.5,HOU-0.3,ARI-0.6,SEA-0.4,BOS-0.1,BOS0.1,CIN-0.3,BAL0.0,KCR-0.4,WSN-0.7,MIL-0.5,TEX-0.4
