Tm,Payroll
New York Yankees,110852878
Los Angeles Dodgers,105747176
Boston Red Sox,84478422
Houston Astros,81848621
New York Mets,80296949
Chicago Cubs,76166963
Philadelphia Phillies,74604761
San Francisco Giants,71170857
St. Louis Cardinals,70452778
San Diego Padres,69465574
Los Angeles Angels,69282429
Washington Nationals,66525837
Atlanta Braves,66275488
Arizona Diamondbacks,64201669
Texas Rangers,63687408
Colorado Rockies,60330370
Cincinnati Reds,53315987
Chicago White Sox,51404630
Toronto Blue Jays,50989164
Minnesota Twins,48747770
Seattle Mariners,48421623
Detroit Tigers,43069928
Milwaukee Brewers,39405276
Cleveland Guardians,37642966
Kansas City Royals,35631531
Athletics,35520598
Tampa Bay Rays,28735222
Miami Marlins,28560819
Pittsburgh Pirates,24770928
Baltimore Orioles,23918577
