Tm,Payroll
New York Mets,334233332
New York Yankees,268954047
San Diego Padres,236962024
Philadelphia Phillies,232424939
Los Angeles Dodgers,218332634
Toronto Blue Jays,205680777
Los Angeles Angels,204088094
Atlanta Braves,199727500
Texas Rangers,183578160
Chicago White Sox,180911666
Houston Astros,180888333
Chicago Cubs,180115000
Boston Red Sox,175783182
San Francisco Giants,175590000
Colorado Rockies,166250466
St. Louis Cardinals,147770834
Minnesota Twins,141271190
Seattle Mariners,129814047
Arizona Diamondbacks,112763571
Milwaukee Brewers,108644960
Detroit Tigers,105338500
Cincinnati Reds,86374500
Miami Marlins,81075000
Washington Nationals,79983095
Kansas City Royals,75825000
Cleveland Guardians,75010000
Baltimore Orioles,64907966
Tampa Bay Rays,64652911
Pittsburgh Pirates,60787500
Athletics,43145000
