Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Atlanta Braves21.9,MIA13.3,MIA10.1,CIN4.6,ATL21.5,ARI2.0,ATL5.4,TEX5.5,ATL3.9,TEX5.2,SDP2.6,SEA3.4,ATL6.1,ATL7.1,LAA3.7,TBR0.6
2,Tampa Bay Rays19.4,MIN8.5,MIN7.3,NYY4.5,TEX17.8,SEA1.6,LAD4.5,ATL3.1,PIT2.8,TBR3.9,ARI1.6,PHI2.9,LAD4.0,HOU5.9,HOU1.9,TOR0.4
3,Texas Rangers14.2,PHI7.9,SDP6.0,MIA3.3,TBR14.9,STL1.6,TBR3.5,CHC3.0,HOU2.6,NYM3.7,TBR1.5,TOR2.9,HOU3.5,SDP5.1,ATL1.6,MIN0.3
4,Houston Astros13.1,NYY6.3,PHI5.2,PHI2.8,LAD14.0,ATL1.6,ARI1.2,CLE2.7,TOR2.4,CHC3.6,CHC1.3,CHW2.6,SDP2.6,LAD5.0,TBR1.3,BAL0.1
5,Minnesota Twins13.0,MIL4.9,NYM3.4,HOU1.8,HOU11.5,PHI1.5,SFG1.1,ARI2.6,BAL2.2,SEA3.4,MIL1.3,CHC2.5,TEX2.0,CHC5.0,BAL1.1,PHI0.0
6,Los Angeles Dodgers12.5,TBR4.5,TBR3.3,MIL1.8,TOR9.7,MIL1.3,NYM0.9,MIA2.2,TBR2.1,SDP2.3,HOU1.2,LAA1.9,TBR1.5,TEX3.8,TOR0.9,SEA0.0
7,Philadelphia Phillies11.6,SDP4.3,MIL3.2,MIN1.2,CHC8.4,BAL1.3,TEX0.7,PHI1.8,CLE1.7,TOR2.0,CLE0.9,ATL1.7,CHC1.2,SEA3.6,PHI0.8,LAD0.0
8,Toronto Blue Jays11.6,BOS3.5,TEX3.2,TBR1.1,BAL8.2,TEX1.1,STL0.5,HOU1.8,WSN1.3,KCR1.9,TOR0.5,NYM1.7,WSN1.1,TBR3.5,LAD0.7,HOU-0.1
9,San Diego Padres11.4,CIN3.0,CLE3.0,TOR0.7,SDP7.1,TOR1.0,BAL0.4,LAD1.8,SDP1.3,HOU1.8,NYM0.4,TEX1.4,MIN1.1,TOR3.1,TEX0.7,WSN-0.1
10,Baltimore Orioles9.7,SEA2.3,BOS2.9,BOS0.6,SEA6.4,LAD0.7,BOS0.3,SDP1.7,BOS1.2,BAL1.5,TEX0.4,LAD1.3,BOS0.9,ARI2.4,MIN0.5,TEX-0.1
11,Seattle Mariners8.7,TOR1.9,SEA2.3,BAL0.3,MIN4.5,SDP0.4,PIT0.0,MIN1.4,MIN1.2,WSN1.4,BAL0.2,HOU1.2,DET0.2,MIN1.7,BOS-0.1,BOS-0.2
12,Chicago Cubs4.7,SFG1.8,SFG2.2,LAD0.1,PHI3.7,MIN0.4,TOR-0.1,TBR0.8,TEX0.9,PHI1.3,MIN0.1,BAL1.1,ARI0.2,BOS1.4,STL-0.4,ATL-0.3
13,Milwaukee Brewers3.3,HOU1.6,NYY1.8,SEA0.0,ARI3.4,WSN0.3,MIN-0.6,CIN0.6,LAD0.7,NYY1.0,CIN0.1,DET0.9,SEA0.1,BAL1.2,SEA-0.6,CHC-0.4
14,Boston Red Sox2.6,CLE1.5,BAL1.2,SFG-0.3,BOS-0.9,BOS-0.2,CLE-0.7,BAL0.4,COL0.4,MIL0.9,SEA0.1,STL0.6,BAL-0.1,PHI1.2,SFG-0.6,KCR-0.7
15,Miami Marlins1.1,BAL1.5,TOR1.1,ATL-0.4,WSN-1.3,HOU-0.2,ATH-1.0,NYY0.3,SEA0.3,LAD0.6,LAA0.0,ARI0.6,TOR-0.3,MIL0.8,PIT-0.6,MIA-0.7
16,Arizona Diamondbacks0.5,NYM0.6,CHW1.0,PIT-0.6,MIL-1.6,CHC-0.4,WSN-1.1,STL0.3,CHC-0.2,COL0.3,PIT-0.1,BOS0.6,SFG-0.5,NYM0.2,CHC-0.8,CLE-0.8
17,Cincinnati Reds-2.0,ATL0.4,ATL0.7,DET-0.8,STL-2.2,KCR-0.6,DET-1.3,TOR0.0,STL-0.3,CIN0.2,BOS-0.1,MIN0.5,ATH-0.6,LAA0.1,NYY-1.0,SDP-0.8
18,New York Mets-2.5,DET-0.8,LAA0.5,CHC-1.3,NYM-3.1,CIN-0.7,SEA-1.3,LAA-0.2,CHW-0.6,LAA-0.1,LAD-0.3,TBR0.5,PHI-0.7,DET0.1,MIL-1.1,STL-0.8
19,Cleveland Guardians-3.4,LAD-1.5,DET0.0,CLE-1.5,LAA-3.5,TBR-0.8,PHI-1.3,MIL-0.3,CIN-0.7,MIN-0.4,ATL-0.7,CIN0.4,MIL-0.7,CIN-0.7,MIA-1.1,MIL-0.8
20,New York Yankees-4.2,PIT-2.2,HOU-0.1,SDP-1.7,CLE-4.9,LAA-0.9,CHC-1.4,ATH-0.4,KCR-0.8,ARI-0.7,WSN-1.0,MIL0.2,MIA-0.8,WSN-0.8,SDP-1.2,SFG-0.9
21,Los Angeles Angels-6.5,ARI-2.9,ARI-0.6,ARI-2.1,CIN-5.0,COL-1.2,CHW-1.4,SFG-0.5,MIL-0.9,ATL-0.9,PHI-1.0,KCR0.2,COL-1.1,STL-1.8,ARI-1.2,NYM-0.9
22,San Francisco Giants-8.0,LAA-3.0,CIN-1.6,NYM-2.7,KCR-9.0,ATH-1.2,CIN-1.4,SEA-0.6,SFG-1.3,MIA-0.9,COL-1.0,SDP-0.1,STL-1.2,CLE-1.9,WSN-1.3,ARI-0.9
23,Washington Nationals-8.5,CHW-3.5,PIT-1.6,STL-2.7,SFG-9.8,DET-1.3,MIL-1.5,NYM-0.7,PHI-1.6,DET-1.2,DET-1.0,NYY-0.3,NYY-1.2,SFG-2.9,CIN-1.3,COL-1.0
24,St. Louis Cardinals-8.5,TEX-3.6,LAD-1.6,LAA-4.1,DET-9.9,SFG-1.6,NYY-1.5,DET-0.9,NYY-1.7,STL-1.3,STL-1.2,PIT-0.6,CIN-1.2,KCR-3.1,KCR-1.4,NYY-1.0
25,Detroit Tigers-10.7,CHC-3.7,CHC-2.3,WSN-4.2,PIT-10.2,NYY-1.7,SDP-1.7,WSN-1.0,DET-1.9,BOS-1.4,SFG-1.5,CLE-0.8,KCR-1.3,COL-3.2,CLE-1.4,CIN-1.0
26,Pittsburgh Pirates-12.4,STL-6.3,KCR-3.0,CHW-4.5,NYY-10.5,NYM-1.7,HOU-2.2,KCR-1.4,ARI-2.0,ATH-2.2,KCR-2.0,WSN-0.9,LAA-1.8,PIT-3.6,NYM-1.6,PIT-1.1
27,Kansas City Royals-18.7,WSN-7.2,WSN-3.0,COL-5.2,COL-11.4,CLE-2.1,MIA-2.2,CHW-1.9,LAA-2.2,CLE-2.4,CHW-2.1,SFG-0.9,NYM-1.9,CHW-3.7,CHW-1.6,LAA-1.1
28,Chicago White Sox-21.2,KCR-9.7,STL-3.6,ATH-5.6,MIA-12.2,MIA-2.5,COL-2.5,BOS-1.9,MIA-2.6,PIT-2.6,ATH-2.2,COL-1.1,CLE-2.0,MIA-4.4,ATH-1.6,DET-1.4
29,Colorado Rockies-24.6,ATH-10.6,ATH-4.9,KCR-6.8,ATH-16.8,PIT-2.8,LAA-2.8,PIT-2.3,ATH-2.7,SFG-3.1,MIA-2.5,MIA-1.1,PIT-2.9,NYY-4.9,COL-1.9,CHW-1.7
30,Athletics-27.4,COL-13.2,COL-8.0,TEX-6.8,CHW-17.7,CHW-3.1,KCR-2.9,COL-2.3,NYM-3.0,CHW-3.7,NYY-3.4,ATH-2.6,CHW-4.2,ATH-5.4,DET-2.0,ATH-2.3
