Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Philadelphia Phillies15.1,CHW9.6,PHI10.1,TEX5.2,TBR13.6,ATL2.5,STL5.3,NYY5.5,TBR5.8,COL5.1,TEX4.6,NYY3.6,ATL4.2,TEX8.1,MIN1.6,CIN0.7
2,San Francisco Giants13.5,PHI9.4,CHW6.8,SFG3.5,NYY12.7,MIN2.5,CIN4.8,PHI4.0,BOS5.3,LAD3.1,TBR4.4,HOU3.3,CLE3.6,MIL7.1,CLE0.5,MIL0.3
3,New York Yankees12.6,TEX7.7,LAD6.5,CHW3.0,CIN12.6,PHI2.3,DET4.3,ATL2.8,WSN4.0,CHW3.1,STL3.6,ARI3.2,CIN2.8,NYY6.5,BAL0.3,TBR0.3
4,Tampa Bay Rays11.2,SFG7.5,SFG5.0,ATL2.4,BOS9.3,STL1.5,BOS3.1,BOS2.5,CIN2.4,OAK2.4,MIL3.6,DET2.9,TOR2.6,STL5.4,BOS0.3,MIN0.3
5,Atlanta Braves11.1,ATL4.5,CHC5.0,SDP2.4,STL8.4,CIN1.3,OAK2.8,TBR2.5,ATL2.2,TOR2.4,NYY2.6,OAK1.8,MIL2.1,TBR5.2,DET0.1,DET0.2
6,Cincinnati Reds10.7,LAD4.4,COL4.2,MIN1.5,MIL7.0,SFG1.2,SFG2.4,FLA2.3,SDP1.8,ARI1.5,SFG1.7,PIT1.7,TEX2.0,DET3.8,ATL0.0,NYY-0.2
7,St. Louis Cardinals9.3,COL4.1,FLA3.9,WSN1.1,ATL6.6,CHC1.1,MIN2.2,CIN1.8,TOR1.7,ATL1.2,DET0.7,CHC1.6,PHI1.7,SFG3.3,LAD0.0,CLE-0.3
8,Boston Red Sox9.0,MIN3.7,TEX2.5,TBR0.9,SFG6.0,LAD0.8,SDP2.1,OAK1.8,NYY1.6,FLA1.1,COL0.6,STL1.6,FLA1.5,CIN2.3,STL0.0,SFG-0.3
9,Minnesota Twins7.8,NYM2.3,NYM2.5,COL0.9,PHI5.7,BAL0.5,NYY1.4,ARI1.6,NYM0.7,TBR1.0,WSN0.2,COL1.5,TBR1.3,TOR2.2,SFG0.0,SDP-0.3
10,Texas Rangers7.1,FLA1.9,OAK2.4,NYY0.9,DET4.9,SDP0.5,NYM1.2,MIL1.6,LAD0.6,STL0.3,FLA0.1,TEX1.5,SEA1.2,FLA2.1,SDP0.0,TOR-0.4
11,Colorado Rockies6.3,SDP1.4,HOU2.3,KCR0.4,SDP4.5,BOS0.3,CHW1.2,TEX1.1,MIN0.2,NYM0.2,SDP0.1,PHI1.5,HOU0.9,PHI1.8,ARI0.0,ATL-0.6
12,San Diego Padres5.9,STL0.9,MIN2.2,PHI0.0,MIN4.1,COL0.2,WSN0.4,MIN1.0,DET0.2,DET-0.1,NYM0.0,NYM1.5,BOS0.8,NYM1.4,WSN0.0,BOS-0.6
13,Chicago White Sox4.5,TOR0.7,SEA2.1,TOR-0.3,OAK3.5,TBR0.1,LAA0.1,SFG0.3,COL0.1,BOS-0.2,MIN-0.7,SDP1.5,SFG0.4,COL1.3,MIL0.0,OAK-0.6
14,Oakland Athletics4.2,OAK0.7,ATL2.0,FLA-0.6,COL2.2,TOR0.1,KCR0.1,LAA0.1,CLE0.1,MIN-0.2,BAL-0.9,TOR1.4,NYY0.3,ARI1.2,CHC-0.1,LAA-0.8
15,Toronto Blue Jays2.4,HOU0.7,LAA1.9,STL-0.7,TOR1.7,CLE0.1,TBR0.0,SDP-0.4,PHI0.0,CHC-0.2,CLE-1.0,MIL1.4,DET0.2,SDP1.1,NYM-0.1,STL-0.8
16,New York Mets1.0,CHC0.1,STL1.9,PIT-0.8,TEX-0.6,MIL-0.1,TOR0.0,LAD-0.5,MIL-0.4,SDP-0.3,PIT-1.1,LAA1.2,STL0.2,HOU0.2,CIN-0.1,SEA-0.8
