Tm,Payroll
New York Yankees,206333389
Boston Red Sox,162747333
Chicago Cubs,146859000
Philadelphia Phillies,141927381
New York Mets,132701445
Detroit Tigers,122864929
Chicago White Sox,108273197
Los Angeles Angels,105013667
Seattle Mariners,98376667
San Francisco Giants,97828833
Minnesota Twins,97559167
Los Angeles Dodgers,94945517
St. Louis Cardinals,93540753
Houston Astros,92355500
Atlanta Braves,84423667
Colorado Rockies,84227000
Baltimore Orioles,81612500
Milwaukee Brewers,81108279
Cincinnati Reds,72386544
Kansas City Royals,72267710
Tampa Bay Rays,71923471
Toronto Blue Jays,62689357
Washington Nationals,61425000
Cleveland Guardians,61203967
Arizona Diamondbacks,60718167
Miami Marlins,55641500
Texas Rangers,55250545
Athletics,51654900
San Diego Padres,37799300
Pittsburgh Pirates,34943000
