Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees19.0,SFG13.4,ATL11.1,MIN4.0,LAA15.3,MIN3.1,STL7.3,PHI5.8,WSN5.1,FLA4.8,MIL3.9,SEA4.3,CLE2.3,BOS4.8,MIN1.6,NYY0.0
2,Los Angeles Dodgers17.8,CHC12.2,SFG10.6,BOS3.7,NYY11.2,ATL2.6,SDP4.7,TEX3.6,LAA4.9,COL4.6,TBR2.7,NYM4.0,SEA2.2,PHI4.4,TOR0.9,LAD0.0
3,Boston Red Sox13.6,ATL11.9,CHC10.3,OAK3.6,LAD11.1,STL1.3,MIL4.2,TOR3.3,TBR4.3,TBR4.4,BOS2.7,HOU2.6,PHI2.0,SEA4.3,NYY0.9,TBR-0.1
4,Atlanta Braves11.6,CHW10.1,COL8.7,SFG3.0,PHI10.8,PHI1.1,CHC3.2,BOS3.2,TOR2.9,NYY3.8,NYY1.7,LAD2.6,HOU1.8,LAD4.3,CLE0.3,TOR-0.1
5,St. Louis Cardinals10.9,BOS9.0,CHW7.9,TEX2.7,TBR9.9,OAK1.1,NYY2.7,TBR3.0,LAD2.8,TOR3.1,LAA0.8,LAA2.5,ARI1.8,NYM3.9,NYM0.1,CLE-0.1
6,Philadelphia Phillies10.1,NYY7.8,NYY5.8,CHW2.3,TOR8.4,LAA1.0,DET2.5,MIL2.8,SFG2.2,LAA1.9,LAD0.8,SDP2.3,BOS1.8,MIL3.8,CIN0.0,LAA-0.2
7,Colorado Rockies9.4,COL7.2,BOS5.4,LAD2.3,MIL7.0,ARI0.6,CIN2.2,LAA2.6,SEA1.4,TEX1.7,PHI0.7,DET2.0,TBR1.2,LAA3.4,ARI0.0,CIN-0.4
8,Los Angeles Angels of Anaheim6.8,LAD6.7,STL4.7,NYY2.1,STL6.4,LAD0.4,BOS1.9,LAD2.4,NYM1.3,ATL1.7,COL0.6,PIT1.9,LAD0.9,HOU3.4,ATL0.0,TEX-0.4
9,Tampa Bay Rays5.6,TEX5.0,LAD4.3,FLA1.6,BOS4.6,COL0.3,LAA1.8,NYY2.0,ARI1.2,STL1.7,OAK0.3,PHI1.7,MIN0.9,TBR2.7,LAD0.0,MIL-0.5
10,San Francisco Giants4.4,STL4.5,KCR3.5,CHC1.4,COL2.2,BAL0.0,PHI1.6,ARI1.0,NYY0.9,LAD1.3,TOR0.1,OAK1.5,NYM0.5,CLE1.7,STL0.0,OAK-0.5
11,Chicago Cubs4.3,FLA3.1,TEX2.7,CIN1.4,CLE1.7,BOS-0.1,MIN1.2,CIN0.6,ATL0.8,CLE1.2,SFG-0.1,MIL0.7,BAL0.4,NYY1.6,HOU0.0,PHI-0.6
12,Toronto Blue Jays3.6,MIN3.0,FLA2.1,ATL0.3,NYM1.2,FLA-0.2,SEA1.0,CLE0.5,DET0.6,PIT1.2,PIT-0.1,NYY0.7,TEX0.1,OAK1.2,CHC0.0,FLA-0.6
13,Minnesota Twins3.0,KCR1.9,PHI1.5,STL-0.4,MIN0.0,PIT-0.4,ATL0.8,BAL0.3,TEX0.4,ARI1.2,CIN-0.1,BOS0.3,CIN0.1,PIT1.2,PIT0.0,MIN-0.6
