Tm,Payroll
New York Yankees,201449289
New York Mets,135773988
Chicago Cubs,135050000
Boston Red Sox,122696000
Detroit Tigers,115085145
Los Angeles Angels,113709000
Philadelphia Phillies,113004048
Houston Astros,102996415
Los Angeles Dodgers,100458101
Seattle Mariners,98904167
Atlanta Braves,96726167
Chicago White Sox,96068500
St. Louis Cardinals,88528411
San Francisco Giants,82161450
Cleveland Guardians,81625567
Toronto Blue Jays,80993657
Milwaukee Brewers,80257502
Colorado Rockies,75201000
Arizona Diamondbacks,73571667
Cincinnati Reds,70968500
Kansas City Royals,70908333
Texas Rangers,68646023
Baltimore Orioles,67101667
Minnesota Twins,65299267
Tampa Bay Rays,63313035
Athletics,62310000
Washington Nationals,59328000
Pittsburgh Pirates,48743000
San Diego Padres,42796700
Miami Marlins,36814000
