Tm,Payroll
New York Yankees,92538260
Los Angeles Dodgers,88124286
Atlanta Braves,84537836
Baltimore Orioles,81447435
Arizona Diamondbacks,81027833
New York Mets,79509776
Boston Red Sox,77940333
Cleveland Guardians,75880871
Texas Rangers,70795921
Tampa Bay Rays,62765129
St. Louis Cardinals,61453863
Colorado Rockies,61111190
Chicago Cubs,60539333
Seattle Mariners,58915000
Detroit Tigers,58265167
San Diego Padres,54821000
San Francisco Giants,53737826
Los Angeles Angels,51464167
Houston Astros,51289111
Philadelphia Phillies,47308000
Cincinnati Reds,46867200
Toronto Blue Jays,46238333
Milwaukee Brewers,36505333
Washington Nationals,34807833
Athletics,31971333
Chicago White Sox,31133500
Pittsburgh Pirates,28928333
Kansas City Royals,23433000
Miami Marlins,20072000
Minnesota Twins,16519500
