Tm,Payroll
New York Yankees,194663079
Boston Red Sox,120099824
Los Angeles Angels,103472000
Chicago White Sox,102750667
New York Mets,101084963
Los Angeles Dodgers,98447187
Chicago Cubs,94424499
Houston Astros,92551503
Atlanta Braves,90156876
San Francisco Giants,90056419
St. Louis Cardinals,88891371
Philadelphia Phillies,88273333
Seattle Mariners,87959833
Detroit Tigers,82612866
Baltimore Orioles,72585582
Toronto Blue Jays,71915000
San Diego Padres,69896141
Texas Rangers,68228662
Minnesota Twins,63396006
Washington Nationals,63143000
Athletics,62243079
Cincinnati Reds,60909519
Arizona Diamondbacks,59684226
Milwaukee Brewers,57568333
Cleveland Guardians,56031500
Kansas City Royals,47294000
Pittsburgh Pirates,46717750
Colorado Rockies,41233000
Tampa Bay Rays,35417967
Miami Marlins,14998500
