Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees13.3,MIN8.2,CHW5.8,MIN6.0,TOR10.7,MIN3.3,STL6.6,PHI4.7,STL4.2,MIL3.4,WSN4.0,NYM6.3,TOR3.1,TOR9.3,CLE3.4,SDP0.3
2,San Diego Padres11.3,NYY7.2,CIN5.6,NYM4.3,SDP9.2,SDP2.3,PHI3.0,ARI1.9,FLA3.8,DET3.2,PIT2.1,TOR4.2,LAD2.0,CLE4.4,BOS3.1,TOR0.1
3,New York Mets10.6,CHW6.9,DET5.2,PHI3.6,NYM8.5,ATL1.6,WSN2.8,SDP1.3,SEA3.0,NYM3.2,SEA2.1,CLE4.1,CHW2.0,SDP3.8,CHW2.3,LAA-0.2
4,Minnesota Twins10.2,LAA6.8,LAA4.9,OAK2.5,NYY6.1,DET1.3,HOU2.5,NYY1.3,COL2.8,NYY3.1,TOR2.0,ATL3.5,SEA2.0,WSN3.5,OAK0.6,LAD-0.2
5,Detroit Tigers10.1,DET6.3,NYY4.9,NYY2.4,STL5.6,OAK1.3,TEX1.9,KCR1.1,DET2.8,FLA2.4,BOS2.0,SDP2.5,LAA1.6,NYM3.2,NYY0.2,TEX-0.3
6,Toronto Blue Jays7.9,CIN6.0,ARI4.4,PIT2.4,ATL4.8,BAL1.1,MIN1.8,BAL1.0,CHW2.3,PHI2.2,SFG1.9,TEX2.5,COL1.1,SEA3.1,TOR0.1,CLE-0.3
7,Los Angeles Dodgers7.4,LAD5.3,LAD3.9,LAA2.0,PHI4.6,NYY0.7,LAD1.3,FLA0.9,KCR2.2,ATL2.1,TBD1.9,BAL1.8,SDP1.1,ATL2.4,SFG0.1,DET-0.3
8,Philadelphia Phillies7.2,BOS4.0,COL3.2,BOS1.5,DET3.8,CLE0.6,KCR1.1,COL0.6,NYY2.0,LAD1.9,COL1.1,MIN1.1,CLE1.1,TBD2.3,SDP0.1,NYM-0.4
9,Chicago White Sox4.8,ARI3.5,FLA3.1,LAD1.5,CLE3.7,FLA0.5,SDP1.1,SFG0.6,TOR1.9,ARI1.8,LAD1.0,TBD0.9,CIN0.5,LAD2.1,LAD0.1,MIL-0.4
10,Cleveland Indians3.8,OAK3.4,BOS2.5,SDP1.4,SEA2.3,CHC0.5,TOR0.7,SEA0.5,NYM1.8,HOU1.7,NYY0.8,DET0.8,OAK0.3,SFG1.5,ATL0.1,NYY-0.4
