Tm,Payroll
Baltimore Orioles,71860921
New York Yankees,65663698
Los Angeles Dodgers,62806667
Atlanta Braves,61708000
Texas Rangers,60519595
Cleveland Guardians,59543165
Boston Red Sox,59497000
New York Mets,58660665
San Diego Padres,53066166
Chicago Cubs,49816000
San Francisco Giants,48514715
Los Angeles Angels,48389000
Houston Astros,48304000
Colorado Rockies,47714648
St. Louis Cardinals,44090854
Seattle Mariners,43698136
Kansas City Royals,35610000
Chicago White Sox,35180000
Toronto Blue Jays,34158500
Milwaukee Brewers,31897903
Arizona Diamondbacks,31614500
Philadelphia Phillies,28622500
Tampa Bay Rays,27370000
Minnesota Twins,24527500
Athletics,22463500
Cincinnati Reds,20707333
Detroit Tigers,19237500
Miami Marlins,15141000
Pittsburgh Pirates,13695000
Washington Nationals,8317000
