Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Atlanta Braves25.8,SDP12.9,ATL9.9,COL7.0,ATL18.4,TEX4.1,NYM5.2,HOU4.2,ATL4.9,SEA6.0,SFG6.0,ATL5.4,MON5.1,HOU8.9,SEA3.2,ATL0.5
2,New York Yankees25.7,MIN12.3,SDP9.3,MIN5.1,NYY17.5,PIT3.1,STL4.9,SFG3.1,PHI4.5,NYY5.0,CHW4.2,STL4.9,PHI4.3,CLE8.9,CHW0.9,NYY0.3
3,Houston Astros25.4,HOU11.9,NYM9.2,ANA3.6,HOU13.5,NYM2.9,HOU4.0,KCR2.9,MIL3.8,BOS5.0,SDP3.7,CLE3.9,CHC4.3,SFG8.1,TEX0.7,TEX0.2
4,San Diego Padres13.0,ANA11.0,HOU9.1,SDP3.6,SFG11.4,ATL2.5,BAL3.7,DET2.6,CHW3.4,CIN3.7,HOU3.2,SEA3.8,NYY3.8,NYY7.4,OAK0.5,SFG-0.2
5,Boston Red Sox11.7,NYM9.9,NYY8.0,SFG3.1,BOS10.0,NYY1.0,ATL3.3,CHW2.1,COL3.3,ARI2.1,CLE1.8,NYY3.3,COL3.6,ATL6.9,BOS0.5,BOS-0.2
6,San Francisco Giants9.0,NYY8.2,ANA7.5,HOU2.8,TEX9.8,ARI0.3,BOS3.2,SDP1.5,NYY2.9,ATL1.3,ATL1.5,HOU2.6,CLE3.2,STL6.6,NYM0.1,TOR-0.4
7,Cleveland Indians8.3,LAD7.9,MIN7.2,PIT1.2,SEA7.2,BAL0.1,TOR3.1,CHC1.4,BOS2.4,BAL1.2,TEX1.4,MON2.5,HOU3.1,MON5.9,STL0.1,SEA-0.5
8,Toronto Blue Jays6.2,ATL7.4,LAD6.5,TEX0.8,STL6.2,HOU-0.1,CLE1.3,BAL1.3,SFG1.1,ANA1.0,TOR0.9,ANA2.3,STL2.7,TEX5.3,COL0.1,CIN-0.6
9,New York Mets5.2,PIT6.0,PIT5.8,LAD0.4,CHW5.7,LAD-0.2,COL1.2,TBD1.2,HOU1.0,DET1.0,NYY0.3,SFG1.8,TEX2.5,PHI3.8,ANA0.1,CLE-0.6
10,Texas Rangers4.6,TOR4.4,TOR5.5,CLE0.3,CLE5.6,BOS-0.2,SEA0.9,MIL0.9,ARI1.0,CHW0.9,CHC0.1,TEX1.4,LAD2.1,CHC3.6,SDP0.1,STL-0.7
11,Baltimore Orioles3.6,COL3.3,CLE2.4,BAL0.3,BAL2.7,CIN-0.3,DET0.8,SEA0.8,SDP0.6,CLE0.9,DET0.0,ARI1.4,TOR1.2,TOR2.8,ATL0.1,PHI-0.7
12,Colorado Rockies3.0,CLE2.7,CHC2.2,NYY0.3,TOR1.8,SFG-0.6,CHC0.6,TEX0.7,NYM0.3,MIL0.8,FLA-0.2,TOR0.7,MIL1.1,COL2.7,SFG0.0,COL-0.7
13,St. Louis Cardinals2.2,BOS1.7,BOS1.9,NYM0.3,CIN0.5,TOR-0.8,TEX0.5,NYY0.6,CLE0.2,SFG0.8,OAK-0.3,PIT0.4,BOS0.4,CHW1.6,NYY0.0,HOU-0.7
14,Seattle Mariners1.4,CHC1.1,OAK1.0,BOS0.0,SDP0.1,OAK-0.8,NYY0.3,TOR0.3,TBD0.2,TBD0.0,CIN-0.6,PHI0.3,SFG0.3,SDP1.0,CIN0.0,BAL-0.7
