Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers22.0,LAD17.7,LAD14.2,NYY5.2,TBR16.0,TBR2.8,OAK3.6,TOR3.9,ATL3.6,HOU4.9,STL4.0,BAL3.6,WSN4.7,STL7.6,LAA2.2,TBR0.8
2,San Francisco Giants21.2,NYY14.0,CIN12.5,SFG4.2,HOU15.1,WSN2.2,STL3.0,MIN2.3,CLE3.4,SDP4.6,TBR1.6,STL3.1,HOU3.5,TBR6.1,NYY1.3,SFG0.5
3,Toronto Blue Jays19.3,CHW13.3,CHW10.7,LAD3.6,STL13.1,KCR2.0,TOR2.9,HOU2.2,SDP2.9,SFG4.1,HOU1.2,CHW2.8,PHI3.2,HOU5.8,BOS1.2,HOU0.1
4,Chicago White Sox16.9,SFG12.3,NYY8.8,BOS2.5,TOR11.5,SFG1.5,ATL2.6,TBR2.1,STL2.0,TOR4.0,TOR0.8,MIN2.7,TEX2.4,WSN3.9,TOR1.1,SDP-0.2
5,Tampa Bay Rays16.2,CIN10.2,MIL8.7,TBR2.5,SFG8.9,LAD1.1,SFG1.9,LAD1.7,CHW2.0,TBR3.4,OAK0.8,TBR2.6,ATL2.2,BAL2.5,MIN1.1,MIN-0.2
6,Houston Astros15.2,TOR7.8,SFG8.2,CHW2.5,WSN8.2,CHC1.0,HOU1.6,SDP1.7,TBR1.7,BOS3.0,KCR0.6,PIT2.4,NYY1.9,OAK2.1,HOU0.9,WSN-0.4
7,Boston Red Sox9.5,MIL6.7,TOR7.6,CLE1.0,SDP7.3,MIL0.7,NYM1.5,ATL1.5,BOS1.1,WSN2.9,LAD0.4,OAK2.2,TBR1.9,PHI1.3,CLE0.5,MIL-0.5
8,Milwaukee Brewers7.9,ATL5.9,PHI7.2,TOR0.5,BOS4.3,DET0.5,COL1.1,CIN1.4,DET1.0,MIL2.5,WSN0.4,MIA1.3,MIL1.1,SFG1.1,SDP0.1,BOS-0.5
9,New York Yankees7.8,PHI5.5,ATL5.5,ATL0.4,LAD4.3,ARI0.5,CHC1.0,KCR1.4,HOU0.9,KCR2.4,DET0.3,SDP1.2,SFG0.6,BOS1.0,COL0.1,COL-0.5
10,Atlanta Braves7.8,BOS5.2,OAK4.3,SEA0.0,CHW3.6,CHW0.4,WSN0.9,PHI1.4,MIN0.9,CHW2.4,CIN-0.1,KCR1.1,STL0.5,TOR0.7,WSN0.1,KCR-0.6
11,St. Louis Cardinals7.1,OAK3.1,HOU4.2,KCR-0.1,MIN3.5,OAK0.4,LAD0.8,MIL1.2,LAD0.8,LAD2.2,BAL-0.3,HOU1.1,CIN0.5,MIL0.6,CIN0.1,CLE-0.6
12,Oakland Athletics5.9,DET1.0,DET3.5,NYM-0.8,OAK2.8,MIN0.2,CHW0.7,BOS0.7,OAK0.8,COL2.2,BOS-0.4,SFG1.0,BOS0.5,MIA0.3,STL0.1,CHW-0.6
13,San Diego Padres3.1,CLE1.0,MIA3.2,OAK-1.4,ATL1.9,PIT0.1,CIN0.7,STL0.5,COL0.6,TEX1.6,COL-0.4,NYM1.0,MIA0.5,CHW0.2,LAD0.0,TEX-0.7
14,Cincinnati Reds2.8,NYM0.9,BOS2.7,SDP-1.6,MIL1.2,PHI0.0,TEX0.1,WSN0.4,CHC0.6,NYM1.5,MIL-0.5,BOS0.9,TOR0.3,SDP0.1,NYM0.0,TOR-0.7
15,Philadelphia Phillies0.9,LAA0.6,LAA2.3,PHI-1.7,COL1.1,TOR0.0,PHI0.1,NYM0.3,SFG0.2,SEA1.4,SFG-0.5,CLE0.5,SEA0.0,MIN0.0,ARI0.0,SEA-0.7
16,New York Mets-1.9,MIA0.4,NYM0.8,MIA-1.7,CHC-0.3,COL-0.5,SEA-0.2,COL0.3,NYM0.0,STL1.4,CHC-0.8,CHC0.4,LAD-0.1,TEX-0.6,SFG0.0,NYY-0.7
17,Cleveland Indians-2.5,TBR0.2,CLE0.0,MIL-1.9,NYM-2.8,BOS-0.5,MIA-0.2,PIT0.1,SEA-0.4,CHC0.9,SDP-1.0,MIL0.0,SDP-0.1,NYY-0.8,MIA0.0,OAK-0.8
18,Colorado Rockies-3.0,HOU0.1,COL-0.4,CIN-1.9,CLE-3.5,CIN-0.5,SDP-0.5,TEX-0.3,TOR-0.4,MIA0.7,CLE-1.1,LAA-0.1,MIN-0.7,ATL-1.0,PHI0.0,BAL-0.8
