Tm,Payroll
Los Angeles Dodgers,235412876
New York Yankees,191205631
Boston Red Sox,180261996
Los Angeles Angels,177353000
Philadelphia Phillies,174009000
San Diego Padres,171686600
Houston Astros,171018567
New York Mets,167415024
Washington Nationals,161907528
Chicago Cubs,149665500
Toronto Blue Jays,137133333
St. Louis Cardinals,135047200
Atlanta Braves,134459435
San Francisco Giants,127889903
Chicago White Sox,125987500
Minnesota Twins,121003834
Cincinnati Reds,118748164
Colorado Rockies,103986666
Arizona Diamondbacks,89077233
Kansas City Royals,87779400
Milwaukee Brewers,87569366
Texas Rangers,84868750
Detroit Tigers,80398600
Athletics,74615000
Seattle Mariners,64553500
Tampa Bay Rays,60388600
Miami Marlins,49425000
Cleveland Guardians,46833300
Baltimore Orioles,45701135
Pittsburgh Pirates,35905000
