Tm,Payroll
New York Yankees,209081577
New York Mets,137793376
Detroit Tigers,137685196
Boston Red Sox,133390035
Chicago White Sox,121189332
Los Angeles Angels,119216333
Los Angeles Dodgers,118588536
Chicago Cubs,118345833
Seattle Mariners,117666482
Atlanta Braves,102365683
St. Louis Cardinals,99624449
Philadelphia Phillies,98269880
Toronto Blue Jays,97793900
Houston Astros,88930414
Milwaukee Brewers,80937499
Cleveland Guardians,78970066
San Francisco Giants,76594500
Cincinnati Reds,74117695
San Diego Padres,73677616
Colorado Rockies,68655500
Texas Rangers,67712326
Baltimore Orioles,67196246
Arizona Diamondbacks,66202712
Kansas City Royals,58245500
Minnesota Twins,56932766
Washington Nationals,54961000
Pittsburgh Pirates,48689783
Athletics,47967126
Tampa Bay Rays,43820597
Miami Marlins,21811500
