Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Chicago Cubs18.7,CHC16.5,CHC14.8,NYY4.4,STL13.8,MIN2.6,STL6.6,PHI6.8,ATL5.5,FLA4.8,COL3.6,NYM4.8,BAL5.0,CLE5.6,TEX2.7,STL0.3
2,Boston Red Sox16.7,CHW10.7,ARI9.7,TOR3.7,PHI11.5,ATL2.2,HOU4.6,BOS4.4,NYM4.7,PHI3.4,CHW2.9,CLE3.5,SDP2.8,NYM5.6,BAL0.9,MIL0.2
3,Tampa Bay Rays13.0,ARI10.2,CHW8.8,LAD3.4,TEX9.1,PIT1.7,TBR2.8,FLA2.6,NYY3.3,MIL3.0,MIL2.6,TEX2.8,TEX2.6,BAL5.4,BOS0.2,CLE0.2
4,Philadelphia Phillies11.7,LAD8.4,BOS8.1,PHI2.7,MIL8.5,LAD1.7,LAA2.8,TEX2.5,TBR2.9,WSN2.7,BOS1.9,PHI2.7,STL2.4,TEX5.2,HOU0.2,CHC0.1
5,Milwaukee Brewers11.0,BOS8.3,LAD5.4,KCR2.6,BOS8.4,MIL1.3,BOS2.3,BAL2.3,SEA2.8,NYM2.6,LAD1.7,MIL2.1,CLE2.0,SDP4.5,NYY0.1,TEX-0.1
6,Toronto Blue Jays9.8,TOR8.2,LAA5.3,TBR2.5,NYM7.7,CLE1.3,ATL2.0,DET2.2,STL2.5,CLE1.5,NYY1.3,FLA1.9,SFG1.6,MIL4.2,NYM0.1,ATL-0.1
7,New York Mets9.2,TBR7.6,TBR4.9,CHW2.0,CLE6.8,OAK1.2,MIN1.4,STL1.8,TOR2.3,ATL1.3,HOU0.9,TOR1.7,TOR1.5,PHI3.6,ATL0.1,OAK-0.2
8,St. Louis Cardinals9.2,NYY7.2,MIL4.8,COL1.8,ATL6.1,CHC0.9,SDP1.3,CHC1.5,BOS1.8,ARI1.0,PHI0.6,DET1.6,MIN1.5,STL3.2,MIL0.0,BOS-0.3
9,Chicago White Sox7.9,LAA6.6,NYM4.8,LAA1.6,TBR5.4,LAA0.6,CIN0.8,CLE1.3,WSN1.1,LAA0.9,TBR0.6,SDP1.5,LAD0.9,BOS2.5,PHI0.0,PHI-0.3
10,Los Angeles Dodgers6.7,KCR5.8,TOR4.7,CIN1.5,CHC2.2,TEX0.5,TOR0.3,TOR1.1,CHC0.8,TEX0.7,FLA0.5,TBR1.2,SEA0.8,CHW2.0,PIT0.0,DET-0.3
11,New York Yankees6.0,MIL2.5,SFG3.3,CHC1.2,FLA1.9,COL0.5,DET0.1,OAK1.0,KCR0.4,NYY0.4,PIT0.4,STL0.7,NYM0.5,TOR1.6,CHC0.0,SDP-0.3
12,Los Angeles Angels of Anaheim3.9,SFG1.8,KCR3.1,ARI0.9,TOR1.6,DET0.5,PHI-0.2,TBR0.8,LAD0.3,STL0.3,CIN0.4,OAK0.7,BOS0.5,LAD1.5,STL0.0,CHW-0.5
13,Cleveland Indians1.0,NYM1.5,NYY2.7,BOS0.6,BAL-0.3,TOR0.2,PIT-0.3,SEA0.8,SDP0.2,LAD0.3,CHC0.3,LAA0.5,PHI0.3,SEA1.3,ARI-0.1,TOR-0.6
14,Arizona Diamondbacks0.3,MIN0.8,CLE0.9,MIN0.3,SDP-0.4,TBR-0.2,CHC-0.3,KCR0.8,DET0.1,CHW0.1,BAL0.3,SEA0.4,HOU0.3,NYY1.1,COL-0.1,TBR-0.7
15,Minnesota Twins0.3,COL0.4,COL0.5,OAK-0.1,MIN-0.5,SFG-0.3,MIL-0.5,CIN0.7,BAL0.1,CHC0.1,NYM0.3,PIT0.4,CHW0.2,TBR0.9,SDP-0.1,NYM-0.7
16,Florida Marlins-1.4,PHI0.2,MIN0.1,HOU-0.5,HOU-0.8,ARI-0.5,NYM-0.8,ATL0.6,CHW-0.1,MIN-0.1,SDP0.2,ATL0.3,NYY0.1,PIT0.7,CIN-0.1,NYY-0.9
17,Atlanta Braves-2.0,CIN-0.4,STL-0.6,FLA-0.9,NYY-1.2,FLA-0.6,CLE-0.9,MIL0.5,HOU-0.1,KCR-0.1,SEA0.1,MIN0.3,PIT-0.1,FLA0.4,SFG-0.1,SEA-0.9
18,Houston Astros-2.3,HOU-1.5,CIN-1.0,SFG-1.2,DET-1.3,PHI-0.9,NYY-1.0,ARI0.2,MIL-0.2,HOU-0.2,CLE0.1,BOS0.1,DET-0.2,MIN-0.3,FLA-0.1,MIN-0.9
19,Colorado Rockies-3.8,OAK-1.9,HOU-1.3,DET-2.0,LAD-1.7,STL-0.9,COL-1.1,LAA0.1,CLE-0.5,COL-0.2,STL0.1,BAL0.1,OAK-0.5,SFG-0.5,WSN-0.2,BAL-0.9
20,Oakland Athletics-5.1,FLA-3.3,FLA-1.4,MIL-2.2,LAA-2.7,NYM-1.1,BAL-1.2,MIN-0.1,TEX-0.6,TBR-0.4,TEX-0.2,CHC-0.2,MIL-0.5,OAK-0.8,OAK-0.3,FLA-1.0
21,Detroit Tigers-6.8,STL-4.6,OAK-1.9,WSN-2.2,CHW-2.8,BAL-1.4,LAD-1.3,COL-0.2,FLA-0.7,DET-0.6,SFG-0.8,NYY-0.3,TBR-0.9,COL-0.9,CHW-0.3,LAA-1.0
