Tm,Payroll
New York Yankees,125928583
Boston Red Sox,108366060
Texas Rangers,105302124
Arizona Diamondbacks,102820000
Los Angeles Dodgers,94850952
New York Mets,94633593
Atlanta Braves,93470367
Seattle Mariners,80282668
Cleveland Guardians,78909448
San Francisco Giants,78299835
Toronto Blue Jays,76864333
Chicago Cubs,75690833
St. Louis Cardinals,74098267
Houston Astros,63448417
Los Angeles Angels,61721667
Baltimore Orioles,60493487
Philadelphia Phillies,57955000
Chicago White Sox,57052833
Colorado Rockies,56851043
Detroit Tigers,55048000
Milwaukee Brewers,50287833
Kansas City Royals,47257000
Cincinnati Reds,45050390
Pittsburgh Pirates,42323598
Miami Marlins,41979917
San Diego Padres,41425000
Minnesota Twins,40225000
Athletics,39679746
Washington Nationals,38670500
Tampa Bay Rays,34380000
