Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Arizona Diamondbacks19.9,ATL12.2,ARI9.1,TEX4.5,CLE12.7,TEX4.2,HOU5.1,CLE4.3,ATL4.8,NYY5.5,ARI4.3,ATL5.0,CLE5.0,CLE8.1,SEA2.5,BAL0.1
2,Atlanta Braves17.7,ARI10.6,BOS8.8,NYM4.0,CIN11.9,NYM2.5,PIT3.4,NYM3.9,NYM4.4,BOS4.2,MIL3.1,HOU3.7,PHI3.9,KCR7.7,OAK2.5,ARI0.1
3,New York Yankees15.3,NYY10.2,ATL8.2,NYY3.6,BAL10.7,DET1.4,OAK3.3,HOU2.8,PHI2.8,CLE3.3,KCR2.9,CIN3.7,TOR3.8,PHI6.3,TEX2.4,SFG0.0
4,New York Mets14.7,HOU10.0,HOU7.9,COL3.5,NYM9.6,TBD0.7,NYM3.2,ARI2.7,MIL2.5,TOR3.2,BAL2.6,CLE3.2,CHW3.3,ATL6.2,BAL1.5,CIN-0.2
5,Houston Astros14.6,BOS9.9,SEA7.1,ATL3.0,ARI9.3,SFG0.7,STL2.8,SFG1.9,LAD2.0,CIN3.1,CIN1.8,NYY2.9,CHC2.4,CIN6.2,TBD0.7,OAK-0.2
6,Boston Red Sox12.7,COL9.3,NYY6.6,MIN2.3,TEX6.7,PHI0.6,LAD2.0,OAK1.5,ARI2.0,BAL2.2,SFG1.4,ARI2.7,KCR2.4,ARI6.1,ARI0.2,TEX-0.3
7,Cincinnati Reds12.2,MIN5.5,COL6.1,CHW2.2,ATL5.5,BAL0.2,CIN1.9,CIN1.4,ANA0.9,SEA2.1,SDP1.3,BAL2.5,MON2.2,BAL6.0,ATL0.1,CLE-0.4
8,Cleveland Indians10.0,NYM5.1,MIN3.3,CIN2.1,NYY5.1,PIT0.1,CHC1.5,ANA1.1,STL0.8,OAK1.3,STL1.1,PIT2.4,MIL2.0,CHW3.6,HOU0.1,NYY-0.4
9,Texas Rangers8.9,SEA3.7,NYM1.5,HOU1.7,HOU4.6,ATL0.0,CLE1.1,NYY1.1,OAK0.8,TEX1.3,LAD0.9,KCR2.4,COL1.8,TOR3.4,CIN0.1,LAD-0.5
10,Baltimore Orioles5.8,TEX2.2,PIT1.3,ARI1.4,OAK4.5,ARI0.0,TOR1.0,TOR0.9,TOR0.4,LAD1.1,TEX0.8,CHW2.1,ATL1.5,MIL3.4,SFG0.1,CHW-0.5
11,Oakland Athletics4.0,CHW1.4,LAD0.1,BOS1.2,TOR4.5,BOS0.0,COL0.5,BAL0.5,BAL0.2,KCR1.0,BOS0.7,PHI2.1,SDP1.3,SDP2.7,MIL0.1,SDP-0.6
12,Toronto Blue Jays1.6,CIN0.3,BAL-0.1,OAK1.0,KCR3.3,CHW0.0,TBD0.5,FLA0.3,MIN0.2,NYM0.8,CHC0.6,SEA2.0,BOS1.2,MON2.2,PHI0.1,BOS-0.6
13,San Francisco Giants1.4,PIT0.0,STL-0.1,TBD0.5,SFG3.1,MIN0.0,BOS0.4,PIT-0.2,HOU0.2,SFG-0.3,MON0.6,DET0.6,TEX1.2,NYY2.2,LAD0.0,SEA-0.7
14,Los Angeles Dodgers0.3,OAK-0.5,CIN-0.5,SFG0.1,BOS2.8,FLA0.0,DET0.1,BOS-0.3,KCR0.0,DET-0.5,PHI0.3,STL0.5,BAL0.9,CHC2.0,STL0.0,HOU-0.8
15,Seattle Mariners-1.2,TBD-1.2,CLE-0.7,ANA-0.1,PHI2.0,TOR-0.4,BAL0.0,MON-0.3,CIN0.0,TBD-0.6,FLA0.1,ANA0.3,SFG0.9,SFG1.9,CHC0.0,DET-0.8
16,Philadelphia Phillies-1.8,LAD-1.5,PHI-0.8,PIT-0.5,LAD1.8,SDP-0.4,TEX-0.1,SDP-0.3,FLA-0.2,PIT-0.6,ANA-0.1,SDP0.1,CIN0.7,BOS1.5,SDP0.0,PHI-0.9
17,Pittsburgh Pirates-2.6,SFG-1.7,TOR-0.8,MON-0.7,SDP-1.5,CIN-0.6,NYY-0.3,MIL-0.3,TEX-0.2,FLA-0.9,CLE-0.1,TOR-0.1,NYY0.1,HOU0.3,FLA0.0,ATL-1.0
