Tm,Payroll
New York Mets,301731074
New York Yankees,293666666
Houston Astros,237303141
Philadelphia Phillies,236182617
Atlanta Braves,225315000
Texas Rangers,221955000
Toronto Blue Jays,221876784
Los Angeles Dodgers,220691666
Chicago Cubs,216330000
San Francisco Giants,188767909
St. Louis Cardinals,164301667
Boston Red Sox,162324847
Los Angeles Angels,158818094
Arizona Diamondbacks,156511716
San Diego Padres,153765453
Colorado Rockies,134099285
Seattle Mariners,129158333
Minnesota Twins,118886590
Chicago White Sox,117773333
Kansas City Royals,105219570
Washington Nationals,95371429
Detroit Tigers,95073933
Baltimore Orioles,94495168
Milwaukee Brewers,94484960
Cincinnati Reds,88123333
Tampa Bay Rays,88066012
Cleveland Guardians,86433928
Miami Marlins,83710000
Pittsburgh Pirates,72014000
Athletics,47905000
