Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers28.2,LAD12.2,LAD8.7,ATL3.4,STL16.5,PHI4.8,STL5.0,CLE4.0,STL5.8,ATL3.3,CLE2.4,SEA4.0,LAD4.6,NYY6.5,HOU2.6,NYY0.6
2,Houston Astros20.8,HOU10.0,HOU7.7,LAD3.4,LAD16.0,TOR3.3,LAD3.9,TEX2.9,SDP4.6,NYM3.2,HOU2.0,LAA3.1,NYY3.8,NYM5.6,TOR2.0,STL0.5
3,New York Yankees20.8,ATL9.1,LAA7.2,BAL2.8,NYY15.3,ATL2.1,ARI2.4,HOU2.8,ATL4.2,MIN3.2,CHC1.6,ATL3.1,HOU3.4,HOU5.5,STL1.9,TOR0.5
4,Atlanta Braves16.0,NYM7.9,PHI7.1,NYY2.5,TOR12.2,SEA2.1,WSN1.7,NYM2.5,HOU2.3,LAD3.1,NYM1.0,NYY3.0,WSN2.2,LAD4.5,LAA1.5,MIL0.2
5,New York Mets15.3,PHI6.3,MIA6.8,HOU2.3,HOU10.8,LAD2.0,TOR1.4,NYY2.5,CLE2.3,BOS3.1,COL0.5,NYM2.9,NYM1.7,CLE3.7,NYY1.5,LAD0.1
6,St. Louis Cardinals14.0,TBR6.3,NYM6.4,TBR2.2,CLE8.1,BAL1.9,CHW1.1,STL2.4,PIT2.2,HOU2.9,ARI0.4,BAL1.7,ARI1.1,ARI2.7,MIN1.0,SEA0.0
7,Toronto Blue Jays11.8,NYY5.5,ATL5.7,NYM1.5,NYM7.4,CHC0.9,ATL1.1,COL2.3,BOS1.9,MIL2.5,KCR0.2,KCR1.5,TOR1.0,SEA2.2,PHI1.0,PHI0.0
8,Philadelphia Phillies8.3,LAA4.9,SFG5.4,CLE0.9,ATL6.9,OAK0.8,NYM1.0,MIA2.1,TOR1.7,CLE2.4,BAL0.2,ARI1.2,STL0.8,BAL2.1,BAL0.7,TBR-0.1
9,Cleveland Guardians7.3,SFG4.8,CHW4.4,SEA-0.3,SDP6.1,NYY0.8,NYY0.9,MIL1.8,TBR1.6,SDP2.3,MIL0.2,MIN1.1,MIL0.8,WSN1.6,LAD0.7,BAL-0.3
10,Tampa Bay Rays7.2,MIA4.6,CHC4.1,TOR-0.5,BAL4.5,SFG0.3,TEX0.9,MIN1.4,MIL1.4,CHC2.0,SDP0.2,PIT0.9,CLE0.6,TOR1.3,TBR0.2,ARI-0.4
11,San Diego Padres5.5,CHW3.0,TBR4.0,SFG-0.7,MIL4.5,TEX0.3,PHI0.8,LAD1.0,NYY1.1,TEX1.9,LAD0.1,STL0.7,BAL0.2,MIL1.1,MIL-0.4,HOU-0.4
12,Baltimore Orioles4.8,CHC2.2,NYY3.1,PHI-1.0,SEA4.3,SDP0.3,SEA0.6,SDP0.9,SEA1.1,BAL1.8,TOR0.0,CLE0.7,LAA0.0,STL0.9,CHW-0.5,MIN-0.4
13,Seattle Mariners4.1,BAL0.3,SDP2.5,CHW-1.3,MIN3.8,BOS-0.3,TBR0.2,TOR0.4,MIN0.9,TBR1.6,PHI-0.1,SDP0.6,CIN-0.1,LAA0.7,KCR-0.6,CLE-0.5
