Tm,Payroll
Los Angeles Dodgers,277108333
New York Mets,253119999
New York Yankees,240290714
Philadelphia Phillies,221738462
San Diego Padres,208772618
Boston Red Sox,195166000
Chicago White Sox,181660734
Atlanta Braves,173935000
Los Angeles Angels,169413094
Toronto Blue Jays,168070905
Houston Astros,163939599
St. Louis Cardinals,150746666
San Francisco Giants,142292500
Texas Rangers,134961333
Chicago Cubs,130560000
Colorado Rockies,129452166
Milwaukee Brewers,122281128
Detroit Tigers,116040000
Washington Nationals,114623095
Minnesota Twins,110859524
Cincinnati Reds,99580000
Seattle Mariners,92745714
Arizona Diamondbacks,75993333
Tampa Bay Rays,75347813
Kansas City Royals,74110000
Miami Marlins,69000000
Cleveland Guardians,42310000
Pittsburgh Pirates,37875000
Athletics,32548334
Baltimore Orioles,30221166
