Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Philadelphia Phillies18.5,PHI14.8,PHI14.8,SDP7.1,CHC19.8,SEA3.4,ATH4.0,CHC3.7,CLE2.8,KCR5.1,BOS2.4,SEA4.3,NYY5.6,NYY8.2,LAD4.3,TOR0.7
2,New York Yankees13.7,CIN13.4,CIN12.0,HOU3.0,LAD12.3,CHC2.6,ATL3.8,MIL3.3,SFG2.4,TEX4.8,TEX2.4,CHC3.7,NYM4.0,BOS7.5,NYY3.4,BOS0.5
3,Chicago Cubs13.4,SDP10.8,PIT6.2,PIT2.0,NYY11.7,ATL2.2,CHC1.9,ARI1.7,KCR2.3,ARI4.8,CHC1.8,TOR2.8,SDP3.5,CHC7.5,PHI2.2,LAD0.3
4,Milwaukee Brewers13.4,PIT8.3,NYY5.8,CIN1.4,TOR10.7,LAD2.0,TOR1.9,NYY1.5,TBR2.3,PHI3.8,SEA1.7,MIN2.7,ARI3.1,TEX5.5,BOS1.6,CHC0.0
5,Boston Red Sox11.9,HOU7.9,MIL5.2,MIL1.1,NYM10.5,MIL1.8,TBR1.7,TEX1.1,ARI2.0,HOU3.7,CLE1.2,BOS2.5,BOS2.6,SEA4.6,SEA1.4,NYM0.0
6,Toronto Blue Jays9.5,MIL6.3,HOU5.0,KCR1.0,BOS10.0,TOR1.5,LAD1.3,DET0.9,LAD1.8,NYM3.7,WSN1.1,TEX2.5,CHC2.0,NYM4.2,MIL1.2,NYY0.0
7,Los Angeles Dodgers9.2,KCR5.4,KCR4.5,SFG0.9,TEX9.2,ATH1.3,NYM1.2,NYM0.9,BOS1.4,LAD3.1,NYM0.7,NYY2.1,ATL0.8,TOR3.4,TBR1.0,TEX-0.1
8,San Diego Padres8.2,MIN2.3,SDP3.7,BOS0.9,SEA9.1,CHW1.2,PHI0.8,LAD0.9,SDP1.4,BAL2.5,MIL0.6,LAD0.8,MIL0.8,SDP2.3,CHC0.9,MIL-0.1
9,New York Mets7.5,NYY2.0,LAD3.1,CLE0.7,MIL7.1,DET1.0,STL0.5,MIA0.8,HOU1.2,CHC2.5,MIA0.6,SDP0.8,TEX0.6,MIA1.7,TOR0.9,TBR-0.1
10,Houston Astros6.9,BOS1.9,MIN2.5,STL0.4,ATL4.4,NYM1.0,MIL0.3,STL0.5,CHC0.7,LAA2.0,NYY0.5,MIA0.7,TOR0.4,MIL1.6,ATH0.4,ATL-0.2
11,Seattle Mariners6.3,CLE1.9,DET2.3,PHI0.0,ARI3.8,PHI0.5,DET0.1,PHI0.5,NYY0.3,TOR1.8,ATH0.4,PHI0.5,MIA0.4,WSN0.0,STL0.3,PHI-0.3
12,Texas Rangers4.3,SFG0.3,ARI1.6,MIN-0.1,PHI3.7,HOU0.4,NYY-0.2,SFG0.5,BAL0.2,BOS1.7,LAA0.2,STL0.4,LAD0.1,MIN-0.2,DET0.1,DET-0.3
13,Cincinnati Reds2.3,CHW-0.7,CLE1.4,MIA-0.7,TBR1.9,ARI0.3,SEA-0.5,TOR0.3,TOR0.2,SFG1.6,TOR0.2,HOU0.2,DET-0.2,ATL-0.3,ATL-0.1,WSN-0.4
14,Arizona Diamondbacks2.0,TBR-0.8,TOR1.2,CHW-1.4,ATH0.9,BOS-0.3,TEX-0.5,TBR0.1,NYM0.1,SEA1.6,DET0.1,MIL0.2,HOU-0.2,ATH-0.9,BAL-0.5,MIA-0.4
15,Kansas City Royals1.8,TOR-1.2,TEX1.0,LAA-1.5,DET-0.5,MIN-0.3,KCR-0.7,ATL-0.1,ATL0.1,WSN1.5,STL-0.2,ATL0.1,ATH-0.6,ARI-1.0,SFG-0.6,SFG-0.5
16,Atlanta Braves1.2,DET-1.3,BOS1.0,TBR-1.5,HOU-1.0,STL-0.4,PIT-0.8,SDP-0.2,MIL0.1,MIA1.5,MIN-0.4,CIN0.1,SFG-0.6,DET-1.0,NYM-0.6,ATH-0.6
17,Tampa Bay Rays1.1,ARI-1.8,CHW0.8,COL-1.7,SFG-1.4,TEX-0.4,CLE-0.9,MIN-0.3,DET-0.1,CIN1.2,TBR-1.2,KCR0.1,WSN-0.7,LAD-1.4,HOU-0.7,STL-0.6
18,San Francisco Giants-1.1,BAL-2.5,TBR0.7,SEA-1.9,MIA-2.0,KCR-0.5,SDP-0.9,SEA-0.4,PHI-0.1,TBR0.8,PIT-1.2,SFG-0.4,BAL-0.8,HOU-1.9,WSN-0.8,SEA-0.7
19,Detroit Tigers-1.8,LAA-2.7,BAL-0.1,NYM-2.0,SDP-2.6,TBR-0.5,BAL-1.0,BOS-0.7,TEX-0.2,ATH0.7,BAL-1.2,WSN-0.4,TBR-1.2,SFG-2.2,ARI-0.8,HOU-0.8
20,Pittsburgh Pirates-2.6,SEA-2.8,ATL-0.6,BAL-2.2,STL-2.9,COL-0.6,MIN-1.2,HOU-0.9,PIT-0.3,CHW0.5,SFG-1.2,NYM-0.5,CIN-1.2,STL-2.7,KCR-0.8,BAL-0.8
21,Athletics-4.4,NYM-3.0,SFG-0.7,TOR-2.4,KCR-3.6,CIN-0.6,BOS-1.7,BAL-1.0,SEA-0.3,PIT0.3,ATL-1.2,CHW-0.5,PIT-1.2,LAA-2.8,TEX-1.0,CIN-0.8
22,Miami Marlins-6.3,LAD-3.1,SEA-0.9,ATL-2.6,BAL-5.9,SFG-0.7,SFG-1.9,WSN-1.3,MIA-0.4,STL0.2,PHI-1.3,LAA-0.7,CHW-1.3,CIN-3.0,LAA-1.1,ARI-1.0
23,Minnesota Twins-6.8,ATL-3.2,NYM-1.0,ATH-2.6,WSN-6.6,CLE-0.8,LAA-1.9,KCR-1.3,STL-0.7,NYY-0.2,COL-1.5,ATH-0.7,SEA-1.4,TBR-3.4,CIN-1.2,PIT-1.0
24,St. Louis Cardinals-8.2,MIA-4.3,LAA-1.1,ARI-3.3,MIN-9.1,WSN-0.9,HOU-2.0,CLE-1.3,COL-1.3,SDP-0.3,CIN-1.9,DET-0.9,LAA-2.3,PHI-3.7,CLE-1.3,CHW-1.2
25,Cleveland Guardians-8.3,TEX-4.9,CHC-1.4,DET-3.6,CLE-10.2,PIT-1.0,CIN-2.0,CHW-1.6,CHW-1.6,ATL-1.0,HOU-1.9,TBR-1.0,MIN-2.5,BAL-3.9,MIN-1.4,KCR-1.3
26,Baltimore Orioles-8.4,STL-5.3,ATH-2.6,NYY-3.7,PIT-10.9,MIA-1.1,ARI-2.2,ATH-1.6,LAA-1.9,MIL-1.1,SDP-2.0,BAL-1.9,STL-2.9,CHW-4.0,CHW-1.4,MIN-1.4
27,Chicago White Sox-11.8,ATH-5.3,MIA-3.7,CHC-5.1,CIN-11.1,NYY-1.3,MIA-2.4,LAA-1.7,MIN-2.0,CLE-1.2,ARI-2.2,ARI-1.9,PHI-2.9,PIT-4.3,MIA-1.7,LAA-1.4
28,Los Angeles Angels-13.9,CHC-6.4,WSN-4.5,TEX-5.9,CHW-11.1,SDP-1.3,WSN-2.5,PIT-2.0,WSN-2.2,DET-1.2,CHW-2.2,PIT-1.9,CLE-3.7,CLE-5.4,SDP-1.8,SDP-1.8
29,Washington Nationals-20.6,COL-12.2,STL-5.7,LAD-6.5,LAA-11.2,BAL-1.4,CHW-3.0,CIN-2.3,CIN-2.4,COL-2.2,LAD-2.3,COL-2.1,COL-3.8,KCR-6.4,PIT-1.8,COL-2.0
30,Colorado Rockies-36.2,WSN-14.0,COL-10.4,WSN-9.6,COL-24.0,LAA-2.4,COL-3.7,COL-4.1,ATH-2.4,MIN-2.3,KCR-2.6,CLE-2.9,KCR-3.9,COL-7.4,COL-2.7,CLE-2.1
