Tm,Payroll
Los Angeles Dodgers,321000000
New York Mets,315000000
Philadelphia Phillies,278000000
New York Yankees,272000000
Toronto Blue Jays,233000000
Texas Rangers,206000000
Houston Astros,204000000
Atlanta Braves,202000000
San Diego Padres,197000000
Los Angeles Angels,192000000
Boston Red Sox,184000000
Chicago Cubs,184000000
Arizona Diamondbacks,174000000
San Francisco Giants,158000000
Baltimore Orioles,150000000
Seattle Mariners,138000000
Minnesota Twins,137000000
Detroit Tigers,131000000
St. Louis Cardinals,122000000
Kansas City Royals,113000000
Colorado Rockies,112000000
Cincinnati Reds,103000000
Washington Nationals,100000000
Milwaukee Brewers,94000000
Cleveland Guardians,82000000
Pittsburgh Pirates,75000000
Tampa Bay Rays,73000000
Chicago White Sox,59000000
Athletics,55000000
Miami Marlins,47000000
