Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,65,4.85,.695,162,1458,1154,12996.0,5853,4332,1437,84,125,.986,35,3,-9,0,4
Athletics,58,5.04,.698,162,1458,1095,12939.0,5613,4313,1212,88,109,.984,-25,-2,1,-3,-2
Atlanta Braves,70,4.53,.698,162,1458,1163,12942.0,5735,4314,1367,54,109,.991,18,2,-3,3,10
Baltimore Orioles,69,4.86,.684,162,1458,1109,12894.0,5789,4298,1403,88,121,.985,-35,-3,2,0,-5
Boston Red Sox,55,4.17,.691,162,1458,1085,13035.0,5922,4345,1461,116,131,.980,36,3,-15,0,-4
Chicago Cubs,52,4.01,.719,162,1458,1154,12915.0,5707,4305,1342,60,117,.989,54,5,4,5,9
Chicago White Sox,62,4.58,.696,162,1458,1036,12744.0,5619,4248,1271,100,131,.982,-37,-3,-10,-1,-5
Cincinnati Reds,53,4.20,.711,162,1458,1116,12915.0,5631,4305,1239,87,101,.985,25,2,-2,0,-1
Cleveland Guardians,44,4.01,.698,162,1458,1026,12978.0,5755,4326,1330,99,121,.983,33,3,-6,0,-2
Colorado Rockies,56,6.30,.661,162,1458,1151,12666.0,5797,4222,1465,110,156,.981,-56,-5,-10,0,-2
Detroit Tigers,58,4.27,.702,162,1458,1037,12927.0,5767,4309,1379,79,128,.986,35,3,-4,0,0
Houston Astros,60,4.10,.708,162,1458,1044,12978.0,5680,4326,1284,70,105,.988,15,1,-17,0,-1
Kansas City Royals,49,3.93,.708,162,1458,996,12930.0,5809,4310,1437,62,132,.989,62,6,15,0,-1
Los Angeles Angels,65,5.17,.689,162,1458,1119,12882.0,5810,4294,1419,97,159,.983,-49,-5,-2,0,-2
Los Angeles Dodgers,61,4.22,.704,162,1458,1009,12969.0,5737,4323,1346,68,102,.988,25,2,-2,0,1
Miami Marlins,56,4.93,.700,162,1458,994,12990.0,5798,4330,1383,85,107,.985,-29,-3,16,0,-6
Milwaukee Brewers,55,3.91,.709,162,1458,1072,12978.0,5699,4326,1297,76,122,.987,35,3,3,0,2
Minnesota Twins,57,4.77,.684,162,1458,990,12840.0,5575,4280,1210,85,98,.985,-77,-7,-5,-1,1
New York Mets,63,4.41,.688,162,1458,1082,12888.0,5850,4296,1475,79,119,.986,-43,-4,9,1,3
New York Yankees,52,4.23,.708,162,1458,1061,12957.0,5802,4319,1389,94,105,.984,18,2,16,0,-3
Philadelphia Phillies,47,4.00,.691,162,1458,1124,12963.0,5766,4321,1383,62,105,.989,-21,-2,5,0,0
Pittsburgh Pirates,57,3.98,.707,162,1458,1134,12876.0,5703,4292,1334,77,118,.986,39,4,-6,0,-5
San Diego Padres,51,3.83,.717,162,1458,1075,12897.0,5607,4299,1234,74,117,.987,8,1,0,0,-1
Seattle Mariners,54,4.28,.703,162,1458,1101,13164.0,5812,4388,1355,69,118,.988,1,0,-9,0,-3
San Francisco Giants,53,4.22,.684,162,1458,1158,12903.0,5920,4301,1523,96,134,.984,-51,-5,-2,3,0
St. Louis Cardinals,44,4.65,.689,162,1458,1097,12888.0,5933,4296,1557,80,124,.987,-44,-4,-3,0,1
Tampa Bay Rays,56,4.22,.705,162,1458,1065,12882.0,5791,4294,1416,81,147,.986,8,1,0,0,7
Texas Rangers,54,3.73,.720,162,1458,1095,12987.0,5744,4329,1364,51,122,.991,62,6,15,2,0
Toronto Blue Jays,58,4.45,.700,162,1458,940,12942.0,5672,4314,1272,86,118,.985,-8,-1,4,4,5
Washington Nationals,51,5.55,.679,162,1458,1175,12810.0,5768,4270,1404,94,132,.984,-57,-5,-8,-4,-9
,1465,4.45,.698,4860,43740,32457,387675.0,172664,129225,40988,2451,3633,.986,-23,0,-32,0,-9
