Tm,Payroll
Los Angeles Dodgers,242065828
New York Yankees,201539699
Boston Red Sox,199805178
Detroit Tigers,199750600
Toronto Blue Jays,177795368
Texas Rangers,175909063
San Francisco Giants,172354611
Chicago Cubs,172189880
Washington Nationals,167846918
Baltimore Orioles,163676616
Los Angeles Angels,160375333
New York Mets,155187460
Seattle Mariners,154800918
St. Louis Cardinals,152452933
Kansas City Royals,140925250
Colorado Rockies,130963571
Cleveland Guardians,124861165
Houston Astros,124343900
Atlanta Braves,112437541
Miami Marlins,111881100
Philadelphia Phillies,111378000
Minnesota Twins,108077500
Pittsburgh Pirates,100575946
Chicago White Sox,99119770
Cincinnati Reds,93768785
Arizona Diamondbacks,93257600
Athletics,81738333
San Diego Padres,71624400
Tampa Bay Rays,69962532
Milwaukee Brewers,63061300
