Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Boston Red Sox22.3,BOS16.0,BOS9.4,BOS6.6,NYY15.7,LAD3.0,STL6.4,PHI6.3,NYY6.6,COL4.6,COL3.8,DET4.6,DET4.2,PHI6.3,BOS3.6,MIL0.1
2,New York Yankees16.6,CLE8.1,CHW8.1,LAD3.2,PHI14.7,NYY2.5,TBD4.4,NYY4.2,NYM6.1,PHI3.9,CHC2.1,NYM3.6,TOR2.7,DET6.1,DET1.2,PHI0.0
3,Colorado Rockies10.6,ARI6.4,CLE5.2,CLE3.1,ATL10.8,CLE2.2,COL1.8,DET3.6,ATL5.0,NYM3.0,NYY1.5,SEA3.3,PHI2.5,SEA3.6,CHW0.9,NYY-0.1
4,Cleveland Indians8.9,CHC6.3,ARI5.0,CHC3.0,DET9.6,MIN0.9,BOS1.8,TOR2.7,CHC3.5,ATL2.9,TBD1.2,PHI3.2,MIL2.0,NYM3.6,NYY0.7,TOR-0.2
5,Atlanta Braves8.7,SDP6.1,LAA4.6,SDP2.4,NYM9.4,PHI0.1,MIL1.6,OAK2.4,BOS2.8,FLA2.4,SDP1.0,CLE3.0,OAK1.6,ATL3.1,CLE0.3,DET-0.2
6,New York Mets8.5,LAD5.7,SFG4.5,SEA2.2,BOS6.3,PIT0.1,CHC1.4,ARI2.0,WSN2.5,MIN2.1,SFG0.9,MIN1.4,BAL1.5,SDP2.1,ATL0.3,SDP-0.3
7,Philadelphia Phillies7.3,COL5.3,CHC4.1,TEX2.2,COL5.3,OAK0.0,OAK1.4,BAL1.8,TOR1.4,SDP1.5,NYM0.9,SDP1.2,ATL1.3,COL2.0,SFG0.1,BOS-0.4
8,Chicago Cubs7.0,LAA4.8,COL3.3,COL2.2,TOR3.6,SEA-0.3,LAA1.0,BOS1.7,SEA1.3,LAA1.4,ATL0.6,ATL1.2,LAA1.2,MIL1.7,CHC0.1,NYM-0.4
9,San Diego Padres7.0,CHW4.6,SDP3.2,FLA1.8,MIL3.0,ARI-0.4,PHI0.7,CIN1.6,FLA1.2,PIT1.2,PHI0.6,BOS1.0,SEA0.9,FLA1.4,PIT0.0,BAL-0.5
10,Los Angeles Angels of Anaheim4.8,SFG4.5,HOU3.2,ARI1.7,OAK2.8,BOS-0.5,SDP0.5,ATL1.6,LAA1.0,MIL1.2,ARI0.5,TEX1.0,FLA0.8,NYY1.1,MIL0.0,OAK-0.5
