Tm,Payroll
New York Yankees,189639045
Boston Red Sox,143026214
New York Mets,115231663
Los Angeles Angels,109251333
Chicago White Sox,108671833
Los Angeles Dodgers,108454524
Seattle Mariners,106460833
Chicago Cubs,99670332
Detroit Tigers,95180369
Baltimore Orioles,93554808
St. Louis Cardinals,90286823
San Francisco Giants,90219056
Philadelphia Phillies,89428213
Houston Astros,87759000
Atlanta Braves,87290833
Toronto Blue Jays,81942800
Athletics,79366940
Minnesota Twins,71439500
Milwaukee Brewers,70986500
Cincinnati Reds,68904980
Texas Rangers,68318675
Kansas City Royals,67116500
Cleveland Guardians,61673267
San Diego Padres,58110567
Colorado Rockies,54424000
Arizona Diamondbacks,52067546
Pittsburgh Pirates,38537833
Washington Nationals,37347500
Miami Marlins,30507000
Tampa Bay Rays,24123500
