Tm,Payroll
New York Yankees,205938439
Boston Red Sox,121311945
New York Mets,104770139
Philadelphia Phillies,95337908
Los Angeles Angels,95017822
St. Louis Cardinals,93319842
San Francisco Giants,89487842
Chicago Cubs,87210933
Seattle Mariners,85883333
Atlanta Braves,85148582
Los Angeles Dodgers,81029500
Houston Astros,76779022
Chicago White Sox,75228000
Baltimore Orioles,74570539
Detroit Tigers,68998183
Arizona Diamondbacks,63015834
San Diego Padres,62888192
Miami Marlins,60375961
Cincinnati Reds,59658275
Minnesota Twins,56615000
Athletics,55869262
Texas Rangers,55307258
Washington Nationals,48581500
Colorado Rockies,47789000
Toronto Blue Jays,45336500
Cleveland Guardians,41830400
Milwaukee Brewers,40234833
Pittsburgh Pirates,38138000
Kansas City Royals,36881000
Tampa Bay Rays,29893567
