Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,St. Louis Cardinals16.9,HOU10.8,NYM10.0,CHW3.7,CLE14.2,CLE2.3,STL5.8,PHI5.6,NYY6.7,ATL4.6,NYM2.6,ATL4.8,LAA3.0,ATL6.6,CLE2.7,TOR0.1
2,Cleveland Indians15.5,CHW10.7,HOU10.0,CLE3.2,PHI12.7,CIN1.9,CHC5.5,BAL4.6,HOU4.1,BAL3.3,PIT2.6,CLE4.2,SDP2.3,PHI6.0,BOS2.5,PHI0.1
3,New York Yankees10.9,NYM9.6,FLA7.2,MIN2.9,STL11.2,BOS1.7,TEX4.2,ARI3.0,NYM2.8,CLE3.2,BOS2.0,PHI2.6,LAD2.3,CLE5.4,NYY0.1,CLE0.0
4,Houston Astros10.7,MIN8.3,CHW7.1,WSN2.6,ATL9.5,NYY1.1,COL2.9,STL2.5,OAK1.9,OAK2.7,FLA1.9,KCR2.5,MIL2.2,BOS5.0,SDP0.0,BOS0.0
5,New York Mets10.6,LAA7.2,CHC6.4,STL2.2,BOS7.8,SDP1.0,ARI1.5,LAA2.4,ATL1.7,PHI2.6,TBD1.9,STL2.5,WSN1.5,NYM3.5,FLA0.0,LAA-0.2
6,Boston Red Sox10.3,NYY7.0,LAA6.3,NYY2.1,CIN4.5,LAA0.8,NYY1.5,CLE2.3,BAL1.7,PIT2.3,PHI1.9,BOS1.8,ATL1.5,STL2.6,MIL0.0,STL-0.3
7,Atlanta Braves10.2,OAK7.0,MIN5.6,OAK1.6,NYY3.9,CHC0.7,WSN1.2,OAK2.0,CHC1.4,CIN2.0,CLE1.7,CIN1.7,PHI1.5,SDP2.4,COL0.0,TEX-0.3
8,Oakland Athletics9.3,WSN6.8,OAK5.3,MIL1.0,BAL2.3,TBD0.6,SEA1.1,ATL1.9,ARI1.1,TBD1.8,COL0.9,MIN1.6,SEA1.5,CIN2.3,SFG0.0,SDP-0.4
9,Los Angeles Angels of Anaheim8.9,CHC6.6,NYY5.1,LAA1.0,OAK2.3,TOR0.5,PHI1.1,DET1.9,STL1.0,NYY1.4,TOR0.6,CHW1.3,BOS1.2,PIT2.1,PHI0.0,MIL-0.4
10,Chicago White Sox8.8,STL5.7,BOS4.5,SDP0.8,DET1.9,DET0.4,CHW0.7,TOR1.8,DET0.9,MIL1.3,CIN0.6,DET1.2,NYY0.6,TBD1.7,ARI0.0,DET-0.4
11,Chicago Cubs5.6,FLA4.7,MIL4.3,SEA0.6,TOR1.7,MIN0.4,MIL0.7,LAD1.8,MIL0.8,STL0.9,SFG0.5,TOR0.9,CIN0.0,LAD1.7,PIT0.0,TBD-0.5
12,Philadelphia Phillies5.2,MIL3.6,WSN4.3,HOU0.3,LAA1.7,BAL0.3,FLA0.4,FLA1.7,BOS0.6,TEX0.9,ATL0.3,NYM0.9,NYM0.0,SEA1.2,HOU0.0,BAL-0.5
13,Milwaukee Brewers4.2,BOS2.5,ATL3.9,NYM0.0,NYM1.0,OAK0.2,NYM0.3,CHW0.6,CIN0.6,HOU0.9,ARI0.2,LAD0.9,STL0.0,MIL1.1,CIN0.0,FLA-0.6
14,Toronto Blue Jays3.5,SFG2.1,STL2.7,SFG-0.5,MIL0.6,CHW0.0,DET0.0,PIT0.3,SEA0.4,MIN0.3,STL0.1,TBD0.7,CHW-0.2,TOR0.8,CHC0.0,ATL-0.6
15,Florida Marlins1.0,TOR1.8,TOR2.6,TOR-0.5,TBD0.6,FLA-0.7,HOU-0.1,CHC-0.1,LAA0.1,CHW0.0,NYY-0.1,OAK0.7,ARI-0.3,DET0.2,ATL0.0,OAK-0.7
16,Washington Nationals0.1,CLE1.3,SFG2.0,DET-0.6,HOU-0.1,TEX-0.9,LAA-0.3,HOU-0.1,COL-0.1,COL0.0,SEA-0.2,SDP0.7,HOU-0.4,CHW0.0,STL0.0,CIN-0.8
17,Minnesota Twins-0.3,ATL0.7,TEX1.4,COL-0.8,TEX-0.2,WSN-1.0,BOS-0.4,BOS-0.2,TOR-0.2,CHC-0.1,TEX-0.2,TEX0.6,TEX-0.4,TEX0.0,NYM-0.1,CHW-0.9
18,Texas Rangers-3.3,SEA-3.0,ARI-1.6,CHC-1.1,SDP-1.0,STL-1.3,CIN-0.6,SFG-0.3,SDP-0.3,LAA-0.2,DET-0.5,PIT0.5,CLE-0.5,WSN-0.5,LAD-0.1,SEA-1.0
19,Baltimore Orioles-4.0,TEX-3.1,CLE-1.9,BAL-1.9,CHC-1.0,PIT-1.4,OAK-0.6,MIL-0.3,PIT-0.4,TOR-0.4,OAK-0.6,BAL0.2,DET-0.5,OAK-0.6,WSN-0.2,ARI-1.0
