Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers17.5,WSN11.0,WSN10.3,CLE4.2,LAD13.1,MIL4.0,CHC3.4,SEA3.7,LAD4.4,STL3.5,KCR3.6,LAA5.1,MIA4.2,MIA7.7,DET2.9,LAD1.2
2,Washington Nationals16.2,CLE9.5,DET5.6,KCR3.6,PIT10.4,PIT3.8,LAD2.6,LAA3.6,SEA3.9,COL2.8,BAL2.9,PIT4.9,ATL3.0,PIT7.3,BAL1.6,BAL0.5
3,Los Angeles Angels of Anaheim10.9,KCR7.5,LAD5.5,OAK2.0,LAA10.2,CLE2.8,DET2.6,HOU3.2,OAK3.9,WSN2.0,PIT2.5,NYM3.6,TOR2.6,LAA6.4,TOR1.0,OAK0.0
4,Baltimore Orioles10.7,SEA5.1,CLE5.5,SDP2.0,BAL8.9,CIN2.4,ARI2.1,MIN3.1,TEX3.8,LAD2.0,CLE1.9,ARI3.0,OAK2.1,KCR5.7,BOS0.5,DET-0.2
5,Oakland Athletics9.8,ATL4.9,TBR4.1,SEA1.8,TOR6.6,OAK2.0,COL1.7,DET2.6,WSN3.3,LAA1.6,DET1.7,CHW2.8,SFG1.8,BAL5.5,STL0.1,TBR-0.2
6,Detroit Tigers8.3,LAD4.4,ATL3.9,ATL1.7,OAK6.0,SFG1.9,TOR1.7,LAD2.3,CIN2.5,PHI1.3,MIA1.5,BAL2.5,LAA1.8,TOR3.7,COL0.1,NYM-0.2
7,Pittsburgh Pirates6.6,OAK3.8,KCR3.9,BAL1.3,DET5.3,SDP1.1,CHW1.5,BOS2.2,MIN1.7,SFG1.3,NYY1.4,MIL2.3,WSN1.6,LAD3.1,LAD0.1,NYY-0.4
8,Kansas City Royals6.5,CHC3.5,CIN3.8,WSN1.1,WSN5.2,PHI1.1,NYM1.5,PIT1.6,NYY1.4,CHW1.1,TOR1.2,TBR2.2,LAD1.5,OAK3.1,MIA0.0,COL-0.5
9,Toronto Blue Jays4.6,TBR3.3,SEA3.5,SFG1.1,COL3.5,NYY0.8,BAL1.1,PHI1.0,COL1.2,TOR1.0,LAD1.0,KCR2.1,PHI1.1,TBR2.4,PHI0.0,TOR-0.5
10,Cleveland Indians3.6,DET3.0,CHC3.2,MIA0.6,NYM2.8,LAA0.8,ATL0.8,TBR0.5,TBR1.1,BAL1.0,STL1.0,WSN2.0,BOS0.9,NYM2.2,SFG0.0,KCR-0.6
11,St. Louis Cardinals3.5,PHI1.9,STL2.9,NYY0.5,SFG2.7,KCR0.6,LAA0.3,NYM0.2,STL0.6,PIT0.8,OAK0.9,MIA2.0,HOU0.8,WSN1.9,WSN0.0,PIT-0.6
12,Seattle Mariners3.3,BAL1.8,OAK2.2,PHI0.1,STL2.3,CHW0.2,WSN0.1,STL0.0,SFG0.6,ATL0.7,TBR0.6,TEX1.9,BAL0.1,BOS1.7,MIL0.0,BOS-0.6
