Tm,Payroll
Los Angeles Dodgers,235295219
New York Yankees,203812506
Philadelphia Phillies,180052723
Boston Red Sox,162817411
Detroit Tigers,162228527
Los Angeles Angels,155692000
San Francisco Giants,154185878
Texas Rangers,136036172
Washington Nationals,134704437
Toronto Blue Jays,132628700
Arizona Diamondbacks,112688666
Cincinnati Reds,112390772
St. Louis Cardinals,111020360
Atlanta Braves,110897341
Baltimore Orioles,107406623
Milwaukee Brewers,103844806
Colorado Rockies,95832071
Seattle Mariners,92081943
Kansas City Royals,92034345
Chicago White Sox,91159254
San Diego Padres,90094196
New York Mets,89051758
Chicago Cubs,89007857
Minnesota Twins,85776500
Athletics,83401400
Cleveland Guardians,82534800
Pittsburgh Pirates,78111667
Tampa Bay Rays,77062891
Miami Marlins,47565400
Houston Astros,44544174
