Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,St. Louis Cardinals17.2,CHC13.2,CHC12.3,TEX6.4,STL13.8,BOS2.3,COL6.2,SDP3.8,LAD7.5,BAL4.6,SFG7.4,STL4.9,SEA6.6,SEA9.4,CLE2.8,CLE0.4
2,Boston Red Sox16.3,MIN12.6,MIN8.6,MIN4.1,LAD10.0,DET2.2,STL6.2,TOR3.2,STL6.9,PHI2.5,CIN2.5,CHW2.8,ATL6.2,ATL9.1,BOS1.7,CHW-0.1
3,Chicago Cubs15.0,TEX9.0,SFG6.7,BOS3.3,CLE9.0,SDP1.8,CIN2.0,HOU1.7,NYY5.2,DET2.5,NYY2.4,HOU2.8,PHI4.4,HOU5.3,CHW0.7,LAD-0.2
4,Atlanta Braves10.7,BOS8.6,OAK5.6,STL3.1,ATL8.8,PIT1.8,SFG1.9,FLA1.7,BAL3.2,PIT2.3,CHW2.3,MIN2.5,ANA3.0,SFG3.9,OAK0.7,BOS-0.2
5,Los Angeles Dodgers10.1,OAK6.6,BOS5.5,LAD3.1,SDP7.8,BAL1.2,TEX1.8,CIN1.5,OAK2.7,LAD2.0,CHC1.6,OAK2.4,SDP1.5,CHW3.8,SFG0.4,HOU-0.3
6,New York Yankees9.2,NYM6.0,NYM4.6,NYY3.0,BOS7.7,CLE1.2,HOU1.8,ANA1.2,PHI2.1,HOU1.7,BOS1.4,TOR2.1,HOU1.5,ANA3.8,STL0.2,PHI-0.4
7,Houston Astros9.1,NYY5.3,MIL4.3,ANA2.7,HOU7.2,NYY1.0,CLE1.5,BOS1.0,TEX2.0,CLE1.6,ATL1.3,SEA2.0,NYY1.2,BOS2.9,ATL0.2,DET-0.4
8,Minnesota Twins8.9,SFG3.9,FLA3.0,SDP1.5,PHI5.8,MON0.8,PHI1.1,CLE0.8,CHC2.0,NYY1.4,MIN1.1,FLA1.8,DET0.7,STL2.9,PHI0.1,ANA-0.6
9,San Diego Padres8.4,STL3.4,TEX2.7,PIT1.2,DET4.9,ATL0.2,CHC0.6,PHI0.7,FLA1.8,SDP1.1,LAD1.1,BOS1.7,FLA0.1,NYY2.9,DET0.1,MIN-0.7
10,Oakland Athletics6.9,ANA3.1,HOU2.5,OAK1.2,NYY3.9,CHW0.1,DET0.5,STL0.6,CLE1.1,TBD1.0,HOU1.0,LAD1.7,TEX0.0,CIN2.3,COL0.0,TOR-0.7
11,Anaheim Angels5.7,PIT2.4,NYY2.2,NYM1.2,CHW3.7,OAK-0.1,SDP0.5,ATL0.5,COL0.9,OAK0.9,SEA0.8,ATL1.6,BOS-0.2,LAD2.3,SDP0.0,SFG-0.8
12,San Francisco Giants5.2,ATL1.9,COL1.6,PHI0.9,ANA2.6,KCR-0.2,MON0.3,LAD0.4,SDP0.9,CHW0.5,TBD0.8,KCR1.4,CIN-0.3,CHC2.1,LAD0.0,CHC-0.8
13,Philadelphia Phillies4.2,HOU1.9,ATL1.3,CHC0.8,BAL2.5,COL-0.4,TOR0.3,MIL0.4,NYM0.7,ATL0.3,DET0.8,CLE1.4,CHC-0.3,FLA1.9,CHC0.0,ATL-0.8
14,Texas Rangers3.2,MIL1.8,PIT1.0,ATL0.7,CHC1.8,CIN-0.4,TBD0.1,CHW0.3,MIN0.4,BOS0.2,ANA0.7,TBD0.9,MIL-0.4,MIN1.5,HOU0.0,SEA-0.9
15,Baltimore Orioles0.9,SDP0.6,TOR0.5,BAL0.5,CIN1.6,CHC-0.6,ANA0.1,SFG0.2,BOS0.2,STL0.0,BAL0.3,CHC0.8,COL-0.5,OAK1.5,CIN0.0,BAL-0.9
16,Florida Marlins0.5,LAD0.1,ANA0.5,TBD-0.5,SFG1.3,ANA-0.8,FLA0.1,DET0.0,ATL-0.3,CHC-0.3,PIT0.3,SDP0.3,STL-0.5,DET0.8,FLA0.0,NYY-0.9
17,Cleveland Indians-0.6,FLA-0.6,STL0.4,HOU-0.6,FLA1.1,TOR-0.8,CHW-0.2,BAL-0.2,HOU-0.4,NYM-0.4,FLA0.0,MON0.2,LAD-0.5,PHI0.8,NYM-0.1,MIL-0.9
18,Chicago White Sox-0.7,BAL-1.6,ARI-0.9,CHW-1.1,OAK0.3,PHI-1.1,ATL-0.4,TBD-0.2,KCR-0.4,TOR-0.5,OAK-0.1,ANA0.1,MON-0.6,TBD0.7,MON-0.1,KCR-0.9
19,Detroit Tigers-1.7,PHI-1.6,SDP-1.6,MON-1.6,COL-2.1,MIN-1.4,BOS-0.4,TEX-0.5,ANA-0.5,ANA-0.5,PHI-0.2,CIN0.1,OAK-0.8,SDP0.7,MIL-0.1,TEX-1.0
20,New York Mets-4.4,COL-3.1,BAL-1.9,MIL-1.8,MIN-3.7,LAD-1.5,LAD-0.5,MIN-0.8,TBD-0.7,TEX-0.7,MON-0.2,NYM-0.4,BAL-0.8,CLE-0.4,ANA-0.1,SDP-1.0
21,Colorado Rockies-5.2,MON-4.2,MON-2.0,SFG-2.4,SEA-3.9,SFG-1.6,MIL-0.7,COL-0.8,ARI-0.8,MIN-0.7,CLE-0.5,ARI-0.7,TOR-0.9,MON-0.6,PIT-0.2,STL-1.0
22,Pittsburgh Pirates-6.7,TOR-4.2,DET-2.4,KCR-2.7,TOR-4.6,NYM-1.6,OAK-1.4,CHC-1.2,DET-0.8,MIL-0.8,MIL-0.6,DET-0.7,TBD-1.0,TOR-1.4,BAL-0.2,OAK-1.0
23,Milwaukee Brewers-8.6,CHW-4.4,SEA-2.4,SEA-2.7,TBD-5.0,ARI-1.8,ARI-1.6,MON-1.3,SFG-1.0,KCR-0.8,ARI-0.9,NYY-0.7,CHW-1.3,MIL-2.4,MIN-0.3,FLA-1.3
24,Toronto Blue Jays-8.8,SEA-5.2,PHI-3.1,FLA-3.8,TEX-5.8,TEX-1.9,MIN-1.7,KCR-1.4,CIN-1.2,FLA-1.0,SDP-1.1,MIL-1.4,CLE-1.3,PIT-2.7,ARI-0.4,COL-1.3
25,Seattle Mariners-9.1,DET-6.6,LAD-3.3,DET-4.0,PIT-9.1,STL-2.0,KCR-1.7,NYM-1.6,CHW-1.4,COL-1.1,NYM-1.2,SFG-1.4,PIT-1.4,NYM-3.2,KCR-1.2,CIN-1.4
26,Tampa Bay Devil Rays-12.5,TBD-7.5,CHW-3.4,TOR-4.3,MON-9.1,FLA-2.1,SEA-1.8,SEA-1.9,MIL-1.8,CIN-1.2,TEX-1.4,PIT-1.6,NYM-1.6,TEX-3.3,NYY-1.3,TBD-1.6
27,Montreal Expos-13.3,ARI-7.6,CLE-3.7,COL-4.6,MIL-10.4,TBD-2.4,NYY-1.8,ARI-2.2,PIT-2.3,SFG-1.7,STL-1.5,TEX-1.9,MIN-2.1,BAL-3.4,TOR-1.9,NYM-1.7
28,Cincinnati Reds-18.2,KCR-7.8,KCR-4.8,ARI-6.0,NYM-10.4,SEA-2.5,BAL-1.8,PIT-2.6,MON-2.3,SEA-1.9,COL-1.7,BAL-2.9,SFG-2.1,KCR-5.0,TBD-1.9,PIT-2.0
29,Kansas City Royals-19.4,CLE-9.6,TBD-7.0,CLE-6.1,KCR-11.6,HOU-2.6,NYM-2.5,NYY-2.6,SEA-2.3,ARI-3.1,TOR-2.6,PHI-3.4,KCR-2.6,ARI-5.0,SEA-2.0,MON-2.1
30,Arizona Diamondbacks-24.9,CIN-19.8,CIN-8.3,CIN-10.4,ARI-17.3,MIL-4.1,PIT-3.4,OAK-3.0,TOR-2.8,MON-3.8,KCR-3.8,COL-3.4,ARI-3.4,COL-5.6,TEX-2.2,ARI-2.4
