Tm,Payroll
New York Yankees,182835513
Boston Red Sox,125208542
Los Angeles Angels,101084667
New York Mets,100629303
Philadelphia Phillies,93219167
Chicago Cubs,91101667
Los Angeles Dodgers,89694342
Atlanta Braves,88507788
San Francisco Giants,82019167
Seattle Mariners,81543833
St. Louis Cardinals,75633517
Houston Astros,74666303
Arizona Diamondbacks,70204984
Chicago White Sox,65212500
Colorado Rockies,64590403
Athletics,59825167
Texas Rangers,54825973
San Diego Padres,54639503
Minnesota Twins,53585000
Baltimore Orioles,51212653
Toronto Blue Jays,50017000
Kansas City Royals,47609000
Detroit Tigers,46353554
Washington Nationals,43197500
Cincinnati Reds,43067858
Miami Marlins,42118042
Cleveland Guardians,34569300
Pittsburgh Pirates,32227929
Tampa Bay Rays,29506667
Milwaukee Brewers,27518500
