Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
20,Tampa Bay Rays-3.4,MIA-2.3,TBR-1.3,TOR-1.1,PIT-2.4,TOR-1.2,MIL-1.3,PIT-0.1,OAK0.2,NYY0.0,STL-1.4,CLE-0.5,TOR-0.9,COL-1.3,PHI-0.2,HOU-0.9
21,Pittsburgh Pirates-4.0,TBR-3.2,MIA-1.8,SDP-1.6,TEX-3.1,BAL-1.2,TOR-1.4,CHW-0.2,STL0.1,ARI-0.4,ATL-1.5,MIN-0.7,CIN-1.1,TOR-1.3,BAL-0.2,TEX-1.0
22,Milwaukee Brewers-4.3,COL-4.6,PIT-2.4,TBR-1.9,CIN-3.5,TBR-1.5,MIA-1.6,SFG-0.7,DET-0.3,PIT-0.6,BAL-1.5,WSN-0.8,BAL-1.2,SEA-1.8,LAD-0.2,LAA-1.0
23,Los Angeles Angels-5.3,ATL-5.9,SEA-2.7,ATL-2.0,MIL-3.5,PIT-1.5,HOU-1.6,LAD-0.7,NYM-0.7,MIA-0.7,TOR-1.6,SEA-0.9,DET-1.5,MIN-2.9,LAA-0.3,ARI-1.0
24,Arizona Diamondbacks-9.0,PHI-6.5,ARI-2.7,HOU-2.3,SDP-4.1,DET-1.6,NYM-1.9,MIL-1.0,CIN-0.9,PHI-1.2,LAD-1.8,DET-1.0,SDP-1.5,TEX-3.0,DET-0.6,SEA-1.3
25,Oakland Athletics-11.2,ARI-7.4,CIN-2.9,MIN-3.4,KCR-4.5,MIN-1.7,COL-1.9,NYY-1.1,BOS-1.0,ATL-1.4,MIN-1.9,BAL-1.1,TEX-1.7,DET-3.6,KCR-1.0,CIN-1.6
26,San Diego Padres-11.8,SDP-7.7,ATL-3.3,LAA-3.5,ATL-6.1,SDP-1.7,SEA-2.2,KCR-1.6,LAA-1.1,TBR-1.7,WSN-2.3,HOU-1.2,NYY-1.7,PHI-3.7,OAK-1.2,MIL-1.6
27,Atlanta Braves-12.0,HOU-7.8,LAA-4.7,ARI-4.6,NYY-6.6,NYM-1.7,OAK-2.3,LAA-1.7,KCR-1.4,KCR-1.9,LAA-2.8,ARI-1.6,TBR-1.8,WSN-3.7,CHW-1.4,COL-1.7
28,Cincinnati Reds-13.0,LAA-8.3,HOU-5.4,COL-5.1,MIN-8.1,CHW-1.9,WSN-2.3,ATL-2.2,PHI-1.6,SEA-2.0,ARI-3.1,CHW-1.6,PHI-1.9,BAL-3.8,MIN-1.5,ATL-1.9
29,Philadelphia Phillies-18.3,CIN-9.5,SDP-5.5,CIN-5.4,PHI-11.8,ATL-2.2,PHI-3.0,CIN-2.2,MIN-1.9,MIN-2.1,COL-3.2,PIT-2.0,MIL-2.3,OAK-5.0,NYY-1.5,OAK-1.9
30,Minnesota Twins-18.6,MIN-10.5,MIN-6.9,PHI-5.9,OAK-12.5,CLE-2.8,NYY-3.0,OAK-3.2,ATL-2.2,SDP-3.9,PHI-4.1,OAK-3.1,ARI-2.3,ARI-7.0,TEX-3.0,PHI-2.9
