Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Chicago Cubs24.3,WSN12.8,CHC10.1,BAL4.4,BOS17.3,SFG1.9,CHC4.1,SEA4.7,TOR4.3,HOU4.8,PIT2.7,LAA7.2,BOS7.4,BOS11.7,BOS2.5,CHC0.1
2,Boston Red Sox16.2,CHC9.4,WSN8.8,WSN3.2,CHC14.9,WSN1.7,ATL4.0,HOU4.7,SEA4.3,SFG3.5,MIA1.8,BOS3.5,CHW2.7,LAA5.1,SEA1.5,BOS0.0
3,Washington Nationals13.4,NYM8.6,NYM7.1,STL2.9,HOU9.3,STL1.0,ARI2.7,ARI3.6,TEX3.7,LAD3.1,CHC1.6,TBR3.2,HOU2.5,CHC3.7,TOR1.2,KCR0.0
4,San Francisco Giants11.0,CLE6.4,DET6.4,OAK2.6,SFG6.2,MIL0.8,DET2.2,COL3.3,COL3.4,CLE2.7,MIL1.3,CHC2.3,MIA0.8,MIA3.2,CLE0.2,STL-0.2
5,St. Louis Cardinals8.0,DET5.9,TOR5.9,LAD2.3,LAD3.8,MIA0.8,SFG2.1,WSN3.3,BAL3.4,LAA2.3,BOS0.8,PHI2.3,LAA0.7,KCR1.6,HOU0.1,CLE-0.2
6,Los Angeles Dodgers7.8,TOR5.1,CLE4.4,CLE2.0,STL3.4,LAD0.7,CIN1.9,MIN3.1,CHC3.2,CHC2.1,CIN0.7,COL2.1,STL0.6,CHW1.2,SFG0.1,SFG-0.3
7,Toronto Blue Jays7.6,SFG4.8,SFG3.8,KCR1.9,SEA3.2,KCR0.6,SDP0.9,DET2.9,LAD2.7,COL2.0,NYY0.6,ATL1.8,KCR0.6,HOU1.1,MIA0.1,MIA-0.4
8,Cleveland Indians7.4,STL4.6,TEX3.7,MIL1.4,COL3.1,PHI0.5,CHW0.6,BOS2.8,WSN2.3,BAL2.0,CLE0.5,KCR1.8,SFG0.2,NYM0.7,MIL0.0,LAD-0.5
9,New York Mets6.8,LAD4.0,NYY2.8,NYM1.3,LAA3.0,NYY0.3,BOS0.5,TBR1.6,TBR2.2,STL1.5,SDP0.5,LAD1.6,NYM0.0,PIT0.5,NYM0.0,BAL-0.5
10,Baltimore Orioles4.8,NYY3.7,LAD2.0,NYY1.1,MIA2.8,TEX0.1,BAL0.5,CHC1.6,HOU1.7,NYM1.4,NYM0.2,TOR1.2,CLE-0.1,CIN0.5,CHC0.0,PIT-0.5
11,Detroit Tigers4.5,TEX3.5,CHW1.3,SEA1.1,TOR2.5,CHC0.1,STL0.0,CLE1.5,MIA1.4,BOS1.3,CHW0.1,CIN0.9,COL-0.2,TBR0.4,PIT0.0,TBR-0.6
12,Houston Astros1.5,BAL3.3,COL1.1,PIT1.0,BAL1.5,SEA0.0,MIN-0.2,BAL1.3,CHW1.2,TOR1.1,HOU-0.2,MIA0.6,PIT-0.2,CLE-0.1,ARI0.0,NYM-0.6
13,Seattle Mariners1.4,KCR1.8,STL0.8,MIA0.2,CLE1.0,LAA0.0,LAA-0.3,STL1.3,SDP1.2,OAK1.0,SEA-0.5,STL0.6,CHC-0.2,ATL-0.1,COL-0.1,WSN-0.6
14,Miami Marlins0.5,OAK1.3,KCR-0.2,SFG0.1,WSN0.6,OAK-0.1,LAD-0.4,NYM1.0,PIT0.9,TEX0.9,SFG-0.5,NYM0.5,MIN-0.3,STL-0.2,SDP-0.1,NYY-0.8
15,Texas Rangers0.4,CHW0.9,BOS-0.3,TEX-0.2,TBR-0.2,ARI-0.1,TBR-0.5,SDP0.8,ARI0.6,DET0.4,TEX-0.8,SDP0.5,SEA-0.4,SDP-0.5,ATL-0.1,SDP-0.8
16,Chicago White Sox-0.3,MIL-0.8,PHI-0.7,DET-0.4,CHW-1.2,BOS-0.5,CLE-0.6,TOR0.6,NYY0.4,MIL0.3,KCR-0.8,NYY0.2,ATL-0.4,SFG-0.7,WSN-0.1,TOR-0.8
17,Colorado Rockies-1.5,BOS-1.1,BAL-1.0,CHW-0.5,DET-1.4,COL-0.6,KCR-0.8,TEX0.4,CLE0.3,CHW0.2,TBR-1.0,MIL0.0,WSN-0.6,NYY-0.9,CIN-0.1,DET-0.8
18,Kansas City Royals-2.7,PIT-1.6,OAK-1.0,BOS-0.7,ARI-1.6,HOU-0.6,PIT-1.1,PHI0.3,MIL0.3,CIN0.1,DET-1.1,SFG-0.4,OAK-0.7,LAD-0.9,STL-0.1,MIN-0.9
19,New York Yankees-2.9,SEA-1.8,MIL-1.3,CHC-0.9,NYM-1.8,CIN-1.2,TEX-1.2,MIA0.0,SFG0.3,WSN0.0,OAK-1.2,TEX-0.5,LAD-0.7,MIL-1.0,TBR-0.1,CHW-0.9
