Tm,Payroll
Los Angeles Dodgers,223352402
New York Yankees,213472857
Boston Red Sox,182161414
Detroit Tigers,172282250
San Francisco Giants,166495942
Washington Nationals,166010977
Los Angeles Angels,146449583
Texas Rangers,144307373
Philadelphia Phillies,133048000
Toronto Blue Jays,126369628
Seattle Mariners,122706842
St. Louis Cardinals,120301957
Cincinnati Reds,116732284
Chicago Cubs,116654522
Baltimore Orioles,115587632
Kansas City Royals,112914525
San Diego Padres,112895700
Minnesota Twins,108262000
New York Mets,99626453
Chicago White Sox,98712867
Milwaukee Brewers,98683035
Colorado Rockies,98261171
Atlanta Braves,87622648
Cleveland Guardians,86339067
Pittsburgh Pirates,85885832
Miami Marlins,84637500
Athletics,80279166
Tampa Bay Rays,73649584
Arizona Diamondbacks,70762833
Houston Astros,69064200
