Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,St. Louis Cardinals18.6,STL16.8,STL12.6,KCR4.9,TOR12.1,PIT1.8,ARI6.0,DET2.6,TOR4.7,SFG3.8,ARI2.5,LAA6.8,WSN6.4,ARI8.3,TOR2.2,LAD0.4
2,Los Angeles Dodgers13.4,CLE7.8,LAD8.5,STL4.3,ARI10.3,SFG1.7,CIN5.4,MIA2.5,BAL4.5,HOU3.7,PIT1.9,ARI5.0,STL4.7,STL5.2,SEA0.6,HOU0.2
3,Toronto Blue Jays12.3,NYM7.6,WSN7.7,PIT3.6,HOU9.1,OAK1.3,CHC4.4,SFG2.4,COL3.9,ATL2.3,DET1.9,KCR5.0,DET2.8,TBR5.1,NYY0.4,KCR0.1
4,Houston Astros11.7,WSN6.8,NYM6.7,BAL3.1,LAD8.0,LAD1.1,SFG3.0,HOU1.8,SEA2.8,BOS2.2,SDP1.8,TBR4.9,HOU2.7,LAA5.0,KCR0.2,TOR-0.1
5,Pittsburgh Pirates9.2,NYY5.8,CLE6.6,NYY2.5,SFG6.8,TOR0.5,LAD2.7,BOS1.4,CHC2.7,CLE2.0,NYM1.4,BOS3.9,NYM2.6,PIT4.6,BOS0.2,ARI-0.2
6,San Francisco Giants9.2,LAD5.4,CHC6.0,SFG1.2,KCR4.3,NYY0.4,KCR1.8,TOR1.4,TEX2.3,MIA1.2,KCR1.4,PIT3.0,MIL1.5,HOU3.9,LAD0.0,TBR-0.2
7,Kansas City Royals8.6,PIT5.0,TBR3.7,CLE1.0,PIT4.2,BAL0.3,MIL1.6,SEA1.2,STL2.0,NYY0.7,STL0.8,PHI2.6,MIA1.3,KCR3.8,PIT0.0,NYY-0.5
8,Chicago Cubs7.6,KCR4.3,NYY3.5,MIL0.8,CHC3.6,HOU0.2,DET1.4,CLE1.2,TBR1.9,CIN0.3,NYY0.8,TOR2.6,TOR1.2,NYM3.8,MIA0.0,OAK-0.5
9,New York Mets6.5,CHC4.0,SEA3.0,TEX0.6,STL1.8,CLE-0.1,NYY1.2,TBR1.1,KCR1.8,PIT0.2,LAD0.4,CHW1.9,OAK1.0,DET3.7,SDP0.0,DET-0.5
10,Washington Nationals5.3,HOU2.6,HOU2.7,NYM0.1,DET1.6,TEX-0.1,SDP0.9,MIN0.8,CIN1.4,LAD0.2,MIA0.3,HOU1.3,LAD1.0,WSN3.3,CHC0.0,SDP-0.6
11,New York Yankees5.1,SFG2.4,MIN2.3,HOU-0.3,BOS1.6,ARI-0.2,BAL0.9,STL0.7,HOU1.1,TOR0.0,TBR0.1,OAK0.8,SEA1.0,BOS3.0,ARI0.0,CHW-0.7
12,Arizona Diamondbacks3.8,MIN1.8,PIT2.1,MIN-0.4,MIA1.2,CHC-0.2,NYM0.6,PIT0.6,MIA0.9,WSN0.0,CLE0.0,LAD0.8,ARI0.8,TOR2.8,WSN0.0,BOS-0.7
