Tm,Payroll
Los Angeles Dodgers,272789040
New York Yankees,219282196
Boston Red Sox,187407202
Detroit Tigers,173813750
San Francisco Giants,172672111
Washington Nationals,164920505
Los Angeles Angels,150933083
Texas Rangers,142140873
Philadelphia Phillies,135827500
Toronto Blue Jays,122506600
St. Louis Cardinals,120869458
Seattle Mariners,119798060
Chicago Cubs,119006885
Cincinnati Reds,117197072
Chicago White Sox,115238678
Kansas City Royals,113618650
Baltimore Orioles,110146097
Minnesota Twins,108945000
Milwaukee Brewers,105002536
Colorado Rockies,102006130
New York Mets,101409244
San Diego Padres,100675896
Atlanta Braves,97578565
Arizona Diamondbacks,91518833
Pittsburgh Pirates,88278500
Cleveland Guardians,86091175
Athletics,86086667
Tampa Bay Rays,76061707
Houston Astros,70910100
Miami Marlins,68479000
