Tm,Payroll
New York Yankees,109791893
Boston Red Sox,109558908
Los Angeles Dodgers,108980952
New York Mets,93174428
Cleveland Guardians,91974979
Atlanta Braves,91851687
Texas Rangers,88504421
Arizona Diamondbacks,81206513
St. Louis Cardinals,77270855
Toronto Blue Jays,75798500
Seattle Mariners,75652500
Baltimore Orioles,72426328
Colorado Rockies,71068000
Chicago Cubs,64015833
San Francisco Giants,63332667
Chicago White Sox,62363000
Houston Astros,60382667
Tampa Bay Rays,54951602
Pittsburgh Pirates,52698333
Detroit Tigers,49831167
Los Angeles Angels,46568180
Cincinnati Reds,45227882
Milwaukee Brewers,43089333
Philadelphia Phillies,41664167
San Diego Padres,38333117
Kansas City Royals,35643000
Miami Marlins,35504167
Washington Nationals,34774500
Athletics,33810750
Minnesota Twins,24350000
