Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Seattle Mariners29.1,ARI13.0,ARI12.1,NYY4.9,SEA27.5,TEX2.5,OAK5.6,SEA6.2,MIN3.7,TEX5.6,SFG9.3,STL4.6,CHC8.2,SEA10.4,SEA3.0,SEA1.0
2,Oakland Athletics18.4,NYY11.7,OAK8.5,CLE4.0,SFG10.5,LAD2.2,COL5.4,CLE4.7,PHI3.6,SFG4.2,ARI5.8,SEA3.8,SEA5.2,SFG9.5,CLE1.0,ARI0.2
3,Arizona Diamondbacks17.8,OAK11.4,NYY7.1,TOR3.1,STL10.2,NYM2.0,HOU3.5,SFG2.1,SDP3.4,NYY2.8,FLA4.4,KCR3.7,LAD4.8,STL9.0,BOS0.9,TEX-0.4
4,St. Louis Cardinals11.5,BOS7.3,BOS6.7,OAK3.0,COL9.5,FLA1.6,SEA2.9,CHW2.0,OAK3.3,MIN2.3,HOU2.8,ATL2.8,COL4.5,CHC7.9,SFG0.3,STL-0.4
5,San Francisco Giants10.1,ATL5.8,ATL6.7,ARI2.4,OAK7.0,SEA0.7,CLE2.6,MIL1.7,ATL3.1,OAK1.7,LAD1.9,MIN2.4,STL4.0,ARI6.8,COL0.2,TBD-0.4
6,Houston Astros9.6,HOU5.1,HOU3.9,HOU2.4,ARI4.8,MIN0.4,SDP2.3,PHI1.3,STL2.9,ANA1.7,SEA1.4,NYY2.2,PHI3.0,HOU4.6,NYM0.1,CHW-0.5
7,New York Yankees8.3,TOR4.2,MIN3.1,MIL2.3,HOU4.5,CLE0.3,TOR1.8,HOU1.1,ANA2.6,SEA1.6,PIT1.4,SDP1.4,MON2.6,LAD4.1,TEX0.1,PHI-0.5
8,Chicago Cubs7.3,ANA4.1,LAD3.0,ANA2.1,MIN3.7,SDP-0.1,TEX1.3,STL0.7,COL2.2,MON1.4,TOR1.3,COL1.3,CLE2.0,COL3.7,FLA0.1,DET-0.5
9,Colorado Rockies6.5,CHC4.0,NYM2.3,CIN1.5,TEX3.7,OAK-0.1,BAL1.0,DET0.5,PIT1.9,KCR1.0,DET0.9,HOU0.8,ATL2.0,ATL3.5,ATL0.0,MIN-0.6
10,Atlanta Braves5.8,SEA1.6,CHC2.1,CHC1.2,PHI3.5,DET-0.3,ARI1.0,NYM0.4,SEA1.7,COL0.8,CHC0.9,CHW0.5,ARI1.7,FLA2.9,CHC0.0,SFG-0.6
