Tm,Payroll
New York Yankees,152749814
New York Mets,117176429
Atlanta Braves,106243667
Los Angeles Dodgers,105872620
Texas Rangers,103491667
Boston Red Sox,99946500
Seattle Mariners,86959167
St. Louis Cardinals,83486666
San Francisco Giants,82852167
Arizona Diamondbacks,80640333
Chicago Cubs,79868333
Los Angeles Angels,79031667
Baltimore Orioles,73877500
Houston Astros,71040000
Philadelphia Phillies,70780000
Colorado Rockies,67179667
Cincinnati Reds,59355667
Minnesota Twins,55505000
Pittsburgh Pirates,54812429
Washington Nationals,51948500
Toronto Blue Jays,51269000
Chicago White Sox,51010000
Athletics,50260834
Detroit Tigers,49168000
Miami Marlins,49050000
Cleveland Guardians,48584834
San Diego Padres,47928000
Milwaukee Brewers,40627000
Kansas City Royals,40518000
Tampa Bay Rays,19630000
