Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees19.4,ARI15.3,ARI12.3,LAD6.7,ATL17.8,NYY3.8,COL4.0,ATL5.5,TEX3.6,TEX5.7,SFG6.3,STL4.0,ATL4.1,ATL8.4,CHW1.3,BOS0.1
2,Boston Red Sox16.6,CHC13.9,OAK11.5,ANA4.3,BOS12.5,ATL3.1,TOR2.9,SEA3.4,BOS3.0,BOS3.7,STL3.1,KCR2.7,PHI3.5,SFG7.6,BOS0.8,PHI0.0
3,Atlanta Braves14.7,OAK12.8,CHC11.0,ARI4.2,PHI9.9,PIT2.5,PHI2.5,NYY2.9,OAK2.8,STL3.3,HOU3.1,SEA2.7,HOU3.3,HOU6.9,NYY0.8,NYY-0.3
4,Seattle Mariners13.3,NYY10.5,MON10.9,SEA2.6,HOU9.3,MIN2.3,HOU1.8,SDP2.4,HOU2.4,ATL2.7,BOS2.0,ATL2.4,SEA3.1,STL6.4,SEA0.7,TOR-0.3
5,Houston Astros10.6,LAD8.7,NYY8.7,HOU2.6,NYY8.9,FLA2.1,MIN1.7,PHI2.0,STL2.3,CHW2.2,ATL1.9,TOR2.0,CHW2.8,SEA6.4,SFG0.4,MIN-0.4
6,Oakland Athletics10.4,MON7.9,FLA8.4,MIN1.9,STL8.8,LAD2.0,NYY1.6,FLA1.8,MIN1.7,OAK2.0,BAL1.7,MIN1.7,BOS2.6,BOS5.6,TEX0.3,SEA-0.4
7,San Francisco Giants9.7,FLA6.8,BOS6.6,NYY1.8,SFG7.0,OAK1.5,TBD1.5,CIN1.5,LAD1.6,TBD1.8,PIT1.6,CLE1.6,COL2.1,PHI4.1,MIL0.1,SDP-0.5
8,Florida Marlins8.2,SEA6.4,CHW5.2,OAK1.6,SEA6.9,PHI1.5,STL1.4,MON1.5,FLA0.5,MON1.5,ANA1.3,PHI1.5,CIN1.2,PIT3.5,STL0.1,ATL-0.5
9,Chicago White Sox6.9,CHW5.3,KCR5.1,CHC1.3,TEX2.5,BOS0.8,MIL1.2,ANA1.0,CLE0.4,PHI0.8,SDP1.2,PIT1.3,MON1.1,CHW3.1,NYM0.1,SFG-0.5
10,Chicago Cubs6.6,BOS4.1,SEA3.7,NYM1.1,MIN2.4,NYM0.7,SFG0.8,TOR0.9,CHW0.4,NYY0.5,MIL1.1,FLA1.3,SFG0.8,BAL2.5,TOR0.1,HOU-0.6
